IN-SAMPLE T=0 BODY PROBE (month 440->441, teacher-forced 1-step)

=== lr_sb_best ===
           arm  npos  frac_alive  ratio_med  ey_mean_pos     ey_max  reg_max
    sp_log_s42   111    0.549550   0.011673     2.965982 145.529877 4.987229
    sp_log_s43   111    1.000000   0.126517     5.372272 205.974152 5.332594
  relu_log_s42   111    0.000000   0.000000     0.000000   0.238014 0.213508
  relu_log_s43   111    0.000000   0.000000     0.000000   0.000000 0.000000
  sp_count_s42   111    0.108108   0.000002     0.059064   1.909191 1.067875
  sp_count_s43   111    0.144144   0.000093     0.070446   3.383023 1.477739
relu_count_s42   111    0.000000   0.000000     0.000088   0.595534 0.467208
relu_count_s43   111    0.000000   0.000000     0.000000   0.281829 0.248288

=== lr_ns_best ===
           arm  npos  frac_alive  ratio_med  ey_mean_pos    ey_max  reg_max
    sp_log_s42    43    0.232558   0.004538     0.119120  1.328472 0.845212
    sp_log_s43    43    0.720930   0.039679     0.927350 15.870641 2.825575
  relu_log_s42    43    0.000000   0.000000     0.000000  0.000000 0.000000
  relu_log_s43    43    0.023256   0.000000     0.008206  0.809138 0.592851
  sp_count_s42    43    0.232558   0.000039     0.149037  4.539350 1.711877
  sp_count_s43    43    0.279070   0.002320     0.114016  2.158125 1.149979
relu_count_s42    43    0.000000   0.000000     0.000000  0.684288 0.521343
relu_count_s43    43    0.000000   0.000000     0.000000  0.860403 0.620793

=== lr_os_best ===
           arm  npos  frac_alive  ratio_med  ey_mean_pos   ey_max  reg_max
    sp_log_s42    53    0.490566   0.024869     0.109136 0.515288 0.415605
    sp_log_s43    53    0.471698   0.027421     0.227482 3.553384 1.515871
  relu_log_s42    53    0.000000   0.000000     0.000000 0.000000 0.000000
  relu_log_s43    53    0.000000   0.000000     0.000000 0.000000 0.000000
  sp_count_s42    53    0.207547   0.001297     0.067537 0.996190 0.691241
  sp_count_s43    53    0.245283   0.004453     0.055600 1.115660 0.749367
relu_count_s42    53    0.000000   0.000000     0.000000 0.000000 0.000000
relu_count_s43    53    0.000000   0.000000     0.000000 0.264327 0.234540

