target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,gate_source
sb,ZINB_43_mean,1,170430,1320,0.2881454239966801,0.019702387735834683,0.16101331981607728,17.719424718674837,0.02395990460412315,0.0,0.4316031235134464,gate-head
sb,ZINB_43_mean,2,170430,1318,0.16578414850239115,0.04589250432504182,0.16520749054268158,17.023650920434044,0.0338186568667933,0.0,0.7583838696959494,gate-head
sb,ZINB_43_mean,3,170430,1315,0.12036621734535599,0.07043680109161854,0.19432739781737432,16.522350271867708,0.06736438401389036,0.0,0.5823261993056594,gate-head
sb,ZINB_43_mean,4,170430,1312,0.10130024431788145,0.11408550867402442,0.2002723848430045,14.841153780185822,0.08668993713968624,0.0,0.2661659546179309,gate-head
sb,ZINB_43_mean,5,170430,1295,0.07694857531634881,0.17435897925014138,0.38381023522459207,15.544630716896425,0.26772981116236355,0.0,0.44638844624751023,gate-head
sb,ZINB_43_mean,6,170430,1312,0.05658494924607342,0.24251570262074057,0.7478709658370789,15.104432641471758,0.6364942411925543,0.0,0.038901111905600416,gate-head
sb,ZINB_43_mean,7,170430,1314,0.04202680195184619,0.3107068058525327,0.21228455681895234,14.652849124157674,0.10008404449910632,0.0,0.03184716403014696,gate-head
sb,ZINB_43_mean,8,170430,1308,0.0318250914240856,0.3758869911860462,0.32185510586100635,14.586797592295648,0.2115291590755112,0.0,0.05177777737900323,gate-head
sb,ZINB_43_mean,9,170430,1334,0.02552292578267991,0.4369731290992502,0.24144930147530327,14.25420493004785,0.13090253509102584,0.0,0.03694187625679498,gate-head
sb,ZINB_43_mean,10,170430,1336,0.021246786961628412,0.4947508595422095,0.2502907205336546,13.93548839574981,0.14216492012625523,0.0,0.13057750709280846,gate-head
sb,ZINB_43_mean,11,170430,1345,0.01807199215047529,0.5476382795361647,0.1868443950319111,14.07714915946403,0.0763528676453233,0.0,0.03270923022074394,gate-head
sb,ZINB_43_mean,12,170430,1355,0.016066024154492785,0.5956556982798346,0.24888053197958607,14.027133303369324,0.13845892910965799,0.0,0.061265376276928865,gate-head
sb,ZINB_43_mean,13,170430,1383,0.01502152353088621,0.6407456324967337,0.7092316826274209,15.264009386543467,0.5901567652108688,0.0,0.27204124507731775,gate-head
sb,ZINB_43_mean,14,170430,1409,0.013928206016121443,0.6806682707251933,0.4108499640958351,15.550479062731762,0.28464234847423764,0.0,0.05059735078971832,gate-head
sb,ZINB_43_mean,15,170430,1423,0.012940200275222054,0.714155091247405,0.4248677496542213,16.226754666385272,0.29181950264369344,0.0,0.6443202975302285,gate-head
sb,ZINB_43_mean,16,170430,1467,0.0124524921604343,0.7440640955702897,0.241729103694968,15.645801380449358,0.10798518325085484,0.0,0.002790816012422121,gate-head
sb,ZINB_43_mean,17,170430,1512,0.012259466963033766,0.7710384723559806,2.0511536679936815,31.033759626722524,1.791727791476093,0.0,34.28714043419021,gate-head
sb,ZINB_43_mean,18,170430,1527,0.011965613071485158,0.7964593041842928,0.7809974199516675,14.973149964870116,0.65269054004965,0.0,0.022776136712407576,gate-head
sb,ZINB_43_mean,19,170430,1522,0.011602699451212988,0.8207729671832891,0.2865413682085996,14.293097076215506,0.1603307814537596,0.0,0.031724729223907934,gate-head
sb,ZINB_43_mean,20,170430,1518,0.01110031141743301,0.842860366491278,0.5997810175357668,14.76383399249733,0.4724896917803933,0.0,0.06310523978666686,gate-head
sb,ZINB_43_mean,21,170430,1546,0.010995220316696934,0.8631917182260146,0.23615220547852916,13.771497007806389,0.11224678480872699,0.0,0.05869674949837224,gate-head
sb,ZINB_43_mean,22,170430,1537,0.010695117700117851,0.8824245994882703,1.2996333388514951,13.83532246262824,1.1855530976144701,0.0,0.11061184480220786,gate-head
sb,ZINB_43_mean,23,170430,1563,0.010593109381035764,0.899441999539001,34.937363946802996,14.55690182240171,35.12600152726833,0.0,0.06342820025453665,gate-head
sb,ZINB_43_mean,24,170430,1579,0.010491451005449008,0.9142544857725413,0.22589140451720174,14.32635370485763,0.09403177696250832,0.0,0.03442073155771824,gate-head
sb,ZINB_43_mean,25,170430,1616,0.01036764408394698,0.9268614996365659,1.3120314038326442,14.491520344076845,1.185868561133374,0.0,0.015531620022963252,gate-head
sb,ZINB_43_mean,26,170430,1611,0.010386632366303182,0.9381494217887133,50.14687653801282,15.195676210543926,50.48040761998554,0.0,0.013112370923515535,gate-head
sb,ZINB_43_mean,27,170430,1619,0.010180542072286,0.9481171217485749,0.4631788376160283,15.235031268022691,0.3215078026430207,0.0,0.04317651642112543,gate-head
sb,ZINB_43_mean,28,170430,1635,0.010100421119007311,0.9562967519031659,0.2604977095338868,16.528975385883168,0.10291625865660324,0.0,2.725448447364079,gate-head
sb,ZINB_43_mean,29,170430,1647,0.010131798350484895,0.9639078974255556,1.7371834920802436,16.005492941856964,1.5979520193384258,0.0,0.019320195508729487,gate-head
sb,ZINB_43_mean,30,170430,1641,0.010069184462038487,0.9703061873904666,0.35519973871497096,17.652879332747858,0.18702828077749895,0.0,0.3960313524435672,gate-head
sb,ZINB_43_mean,31,170430,1649,0.009993580122618424,0.9754634345467071,0.29563814051384163,17.5818678005093,0.1267506904493645,0.0,0.06589119736023455,gate-head
sb,ZINB_43_mean,32,170430,1679,0.010059819049229266,0.9794269570680005,0.21905621278770707,17.994434932554103,0.04219882604340466,0.0,0.022714061614534535,gate-head
sb,ZINB_43_mean,33,170430,1692,0.010222456454308297,0.9831178789030787,0.2967843411129552,17.526143247072298,0.12401901694837338,0.0,0.015711661229720657,gate-head
sb,ZINB_43_mean,34,170430,1705,0.010135288991784064,0.9857638268794157,0.9625371690852863,19.669373166666002,0.7735008355492061,0.0,0.05476539095359348,gate-head
