target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,gate_source
sb,ZINB_44_sample,1,170430,1320,0.3091968897425086,0.025478519023334808,0.1629206273961601,18.09982247393804,0.022912878372239077,0.0,0.6176782140104914,gate-head
sb,ZINB_44_sample,2,170430,1318,0.14042061803659167,0.02555050803709989,0.1625473072590934,16.810863993784952,0.03279612820118453,0.0,0.5294218864834164,gate-head
sb,ZINB_44_sample,3,170430,1315,0.09659897111882193,0.04376134100883823,0.17810153052126,16.267514256742064,0.05299389527317225,0.0,0.44512267678019124,gate-head
sb,ZINB_44_sample,4,170430,1312,0.058865964034953755,0.059901831603683356,0.1777137253608113,14.503394139124216,0.06657657436057719,0.0,0.4968963494199207,gate-head
sb,ZINB_44_sample,5,170430,1295,0.03517273503225964,0.09413893550542611,0.22008916876874834,14.940624958714002,0.10737983097361958,0.0,1.643700751189218,gate-head
sb,ZINB_44_sample,6,170430,1312,0.02438396289585798,0.14312523156420615,0.2554794337927249,14.863531356677413,0.14215167375047805,0.0,0.6252392757930383,gate-head
sb,ZINB_44_sample,7,170430,1314,0.015917733177016846,0.1943037547636404,0.29863717455797467,14.47075956901096,0.18852240820640995,0.0,0.5308126907162726,gate-head
sb,ZINB_44_sample,8,170430,1308,0.012463370199485457,0.25779940977248295,0.33619603457612723,14.350081227850795,0.2278117804116586,0.0,0.3692902111612406,gate-head
sb,ZINB_44_sample,9,170430,1334,0.010543239969838213,0.2958568551687437,0.35397789947715247,14.038757967710987,0.24601853550033495,0.0,0.42290996743785614,gate-head
sb,ZINB_44_sample,10,170430,1336,0.00963514256745911,0.34197069611006675,0.38019797872590855,13.81514318102781,0.2740494058003444,0.0,0.46995187603506494,gate-head
sb,ZINB_44_sample,11,170430,1345,0.009343415631106836,0.3600746980205406,0.4475784498462233,13.877497667262546,0.3407490956904735,0.0,1.049615015221661,gate-head
sb,ZINB_44_sample,12,170430,1355,0.009278492592383936,0.3754711733381338,0.43655239812864083,13.747682195472981,0.32987440980747224,0.0,0.4327485618659588,gate-head
sb,ZINB_44_sample,13,170430,1383,0.00838136251437556,0.3951280006232842,0.4282640777633642,14.9003976944535,0.3098652845763662,0.0,0.6522798859333672,gate-head
sb,ZINB_44_sample,14,170430,1409,0.008720995127271439,0.39265813071161065,0.39972230649232965,15.2767587881337,0.2757037265369827,0.0,0.3832076047366013,gate-head
sb,ZINB_44_sample,15,170430,1423,0.009002603817695439,0.392545650152252,0.4429104010100142,15.811885098420811,0.31350717514117116,0.0,0.4609427598615168,gate-head
