target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,gate_source
sb,th_gated_NB_43_sample,1,170430,1320,0.29009494160569554,0.021696881385354375,0.16075093339653682,18.501988563872874,0.017587112970608342,0.0,2.063532753403982,gate-head
sb,th_gated_NB_43_sample,2,170430,1318,0.23315451733383863,0.01030300563016971,0.1336848340045484,16.984493550139284,0.0023555026273215595,0.0,0.22203106407283998,gate-head
sb,th_gated_NB_43_sample,3,170430,1315,0.20703452196840916,0.009348237638496902,0.12826151154187374,16.348871207225912,0.002133718325278452,0.0,0.4745116628594665,gate-head
sb,th_gated_NB_43_sample,4,170430,1312,0.18604332395161244,0.008347507473613557,0.11308785129509215,14.525223892914676,0.0012799864515811454,0.0,0.10284018167017067,gate-head
sb,th_gated_NB_43_sample,5,170430,1295,0.16098866200495318,0.007927233306805566,0.11456728930068304,14.85433156509312,0.0017107265717907056,0.0,0.09064486419524238,gate-head
sb,th_gated_NB_43_sample,6,170430,1312,0.1353880984730434,0.007990938564965957,0.11630929855783137,15.048339845658075,0.0004681457663158573,0.0,0.08972849347149078,gate-head
sb,th_gated_NB_43_sample,7,170430,1314,0.1094439517537813,0.00807001925092421,0.11322344583687889,14.615058980479587,0.0005468694483614393,0.0,0.02155539004367063,gate-head
sb,th_gated_NB_43_sample,8,170430,1308,0.08857954867336917,0.007785542833935685,0.11163692571743444,14.515875859356939,0.00023365160052197018,0.0,0.019759131922791773,gate-head
sb,th_gated_NB_43_sample,9,170430,1334,0.06667826292595239,0.00786483328623603,0.11160401264523065,14.233765929255975,0.00019413898317635484,0.0,0.007508880136310966,gate-head
sb,th_gated_NB_43_sample,10,170430,1336,0.05065437218193297,0.007855782657026857,0.10914745056936245,13.911010011361387,9.988896919836226e-05,0.0,0.001801587884673056,gate-head
sb,th_gated_NB_43_sample,11,170430,1345,0.040406455757036816,0.007888358970996968,0.11080218051534922,14.033143587537857,5.58151225274236e-05,0.0,0.009568119692279194,gate-head
sb,th_gated_NB_43_sample,12,170430,1355,0.030394786823548906,0.00794040303751208,0.11116532447422145,13.976060885608856,4.934940199060199e-05,0.0,0.0002557249837204254,gate-head
sb,th_gated_NB_43_sample,13,170430,1383,0.018702335264043694,0.008115291376208639,0.12306051237813248,15.157865600144612,5.841570453849656e-05,0.0,4.519161243673174e-05,gate-head
sb,th_gated_NB_43_sample,14,170430,1409,0.01500025066498137,0.008277095105291126,0.1284239680513994,15.530872959545777,2.5422136894232076e-05,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,15,170430,1423,0.0119147557341829,0.00835599413335811,0.1342377552367104,16.077301475755448,8.320660833540588e-07,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,16,170430,1467,0.01040197036335661,0.008606449136504105,0.13483028222748225,15.663258350374916,6.658262636212203e-06,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,17,170430,1512,0.011349035856113271,0.00886272177551955,0.13883705920319192,15.649470899470899,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,18,170430,1527,0.009591109939105925,0.008951095415897087,0.1340785073050519,14.964636542239687,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,19,170430,1522,0.009569583443552052,0.008921791854211547,0.12757730446517632,14.28580814717477,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,20,170430,1518,0.00939864260689083,0.008898433979426,0.13140878953235932,14.753623188405797,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,21,170430,1546,0.009849073963661,0.009062568434629983,0.12487238162295371,13.765847347994825,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,22,170430,1537,0.009567818092139739,0.009009778234618963,0.12461421111306695,13.81782693558881,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,23,170430,1563,0.009061890085012689,0.009162400128740183,0.13258815936161475,14.45745361484325,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,24,170430,1579,0.00904665503098153,0.00925621002144772,0.1327289796397348,14.326155794806839,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,25,170430,1616,0.009287258738298205,0.009473103507955648,0.1374581939799331,14.49690594059406,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,26,170430,1611,0.009443567015244127,0.009443728292900718,0.143806841518512,15.213531967721911,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,27,170430,1619,0.009363719220771382,0.009490656691833903,0.14468110074517399,15.230389129092032,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,28,170430,1635,0.009464438256929107,0.009584446026668438,0.155230886581001,16.181039755351684,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,29,170430,1647,0.009431301439094953,0.00965483584844488,0.1546676054685208,16.004857316332725,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,30,170430,1641,0.009240087359995056,0.009619729223272498,0.1685149328169923,17.50152346130408,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,31,170430,1649,0.009606852163792196,0.009666507672863766,0.1698409904359561,17.55366889023651,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,32,170430,1679,0.009604712620436884,0.009842409113657042,0.17715777738661034,17.982727814175103,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,33,170430,1692,0.009662752073610092,0.009918626245590785,0.17395411605937922,17.521867612293143,0.0,0.0,0.0,gate-head
sb,th_gated_NB_43_sample,34,170430,1705,0.010185735108136163,0.009994704275444475,0.19669072346417885,19.66099706744868,0.0,0.0,0.0,gate-head
