target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,gate_source
sb,th_gated_NB_44_mean,1,170430,1320,0.3174223709333153,0.024777620727595675,0.1457488955952717,18.140601308254357,0.0052888093513476985,0.0,0.2077819419370832,gate-head
sb,th_gated_NB_44_mean,2,170430,1318,0.19032783073897286,0.04688081083561471,0.14467028167927404,17.257599106123486,0.01129807751506646,0.0,0.08431682439131803,gate-head
sb,th_gated_NB_44_mean,3,170430,1315,0.1319964451754208,0.07820453815446085,0.1310112656233425,16.547647339128268,0.0033592156179675973,0.0,0.01869555824403733,gate-head
sb,th_gated_NB_44_mean,4,170430,1312,0.09578433288225992,0.11887799738770259,0.1214383287377927,14.793457032556123,0.007614321007038731,0.0,0.03811293685339331,gate-head
sb,th_gated_NB_44_mean,5,170430,1295,0.06705168805635646,0.17234548605196695,0.11915953423094981,14.988103281669176,0.005313895227003257,0.0,0.009660628544916788,gate-head
sb,th_gated_NB_44_mean,6,170430,1312,0.0490325466786815,0.23677706963365486,0.12322535258679856,15.111185212687749,0.006950305953959682,0.0,0.0013421260665861193,gate-head
sb,th_gated_NB_44_mean,7,170430,1314,0.03681290309958602,0.3051874655069896,0.11703384470281793,14.661149163042937,0.004028762225116725,0.0,0.005707762919967396,gate-head
sb,th_gated_NB_44_mean,8,170430,1308,0.02762906186850351,0.36895640474527536,0.11997264264363369,14.580096043577981,0.00813715460291677,0.0,4.7782874617737003e-05,gate-head
sb,th_gated_NB_44_mean,9,170430,1334,0.021962575111288442,0.42835179072841817,0.11927422540567154,14.253373313343328,0.007770179282115487,0.0,0.0,gate-head
sb,th_gated_NB_44_mean,10,170430,1336,0.018979543887723417,0.48440681653415474,0.14149210981135915,13.915021519461078,0.032668406478940364,0.0,0.0007485029940119761,gate-head
sb,th_gated_NB_44_mean,11,170430,1345,0.01663811229634214,0.5360513667903385,0.1141660068110038,14.043122676579925,0.0033670197876770817,0.0,0.0,gate-head
sb,th_gated_NB_44_mean,12,170430,1355,0.01500666405065906,0.584300351571896,0.11678291648120967,13.98450184501845,0.005644314392385408,0.0,0.0,gate-head
sb,th_gated_NB_44_mean,13,170430,1383,0.013481645419202975,0.6308374615674991,5.65231301185059,15.158351409978309,5.574542621931748,0.0,0.0,gate-head
sb,th_gated_NB_44_mean,14,170430,1409,0.012972014100662486,0.6750724855391634,0.13626837404003825,15.531205642214898,0.007932447670780128,0.0,0.0027501770923795896,gate-head
sb,th_gated_NB_44_mean,15,170430,1423,0.012195098333281612,0.7143722331145234,0.13617375893710135,16.077301475755448,0.001953136471567342,0.0,0.0,gate-head
sb,th_gated_NB_44_mean,16,170430,1467,0.011754057546215042,0.7499337710582494,0.1369357103623202,15.663258350374916,0.0021303665124922646,0.0,0.0,gate-head
sb,th_gated_NB_44_mean,17,170430,1512,0.011485249799076187,0.780878222179579,63.22510350916172,15.649470899470899,63.650957216320535,0.0,0.0,gate-head
sb,th_gated_NB_44_mean,18,170430,1527,0.01113707575436964,0.8074392705637286,0.13543096852825923,14.964636542239687,0.001364688408561255,0.0,0.0,gate-head
sb,th_gated_NB_44_mean,19,170430,1522,0.010746955388616832,0.8305149844592321,0.13006393721264126,14.285366705032592,0.002513017110443811,0.0,0.0007186268851572205,gate-head
sb,th_gated_NB_44_mean,20,170430,1518,0.010538250543469692,0.8506831877109513,0.14196838421999222,14.753623188405797,0.01065449300590411,0.0,0.0,gate-head
sb,th_gated_NB_44_mean,21,170430,1546,0.010371384084415161,0.8684467560860705,0.1253803797547966,13.765847347994825,0.0005126484546196551,0.0,0.0,gate-head
sb,th_gated_NB_44_mean,22,170430,1537,0.010204592932443341,0.8847617738036911,0.12498716481289225,13.81782693558881,0.00037634774123987874,0.0,0.0,gate-head
