target,h,M_mean,M_p99,M_max
sb,1,0.016561785712838173,0.0,528.3750610351562
sb,2,0.015135246329009533,0.0,393.6249694824219
sb,3,0.015036231838166714,0.0,836.3750610351562
sb,4,0.03793492540717125,0.0,1619.8743896484375
sb,5,0.03291673958301544,0.0,1064.6253662109375
sb,6,0.04836883768439293,0.0,3595.125244140625
sb,7,0.020959481596946716,0.0,2190.62451171875
sb,8,0.003500704187899828,0.0,145.12501525878906
sb,9,0.014847734943032265,0.0,725.2498168945312
sb,10,3.79110050201416,0.0,74675.46875
sb,11,28.464946746826172,0.0,907662.0
sb,12,0.004999120254069567,0.0,231.5000457763672
sb,13,0.006372850853949785,0.0,228.875
sb,14,27.97618293762207,0.0,500605.4375
sb,15,27.15956687927246,0.0,499678.21875
sb,16,141.73822021484375,0.0,2434433.0
sb,17,0.0012717831414192915,0.0,42.5
sb,18,2.1219942569732666,0.0,33436.640625
sb,19,87.69369506835938,0.0,1514950.75
sb,20,0.0002090300986310467,0.0,4.499999523162842
sb,21,0.20475412905216217,0.0,3270.87548828125
sb,22,7.476950168609619,0.0,136905.46875
sb,23,0.00014962154091335833,0.0,15.25
sb,24,0.0002471689658705145,0.0,39.00000762939453
sb,25,0.00018042598094325513,0.0,2.75
sb,26,160.32838439941406,0.0,1957301.25
sb,27,0.00021049697534181178,0.0,4.000000476837158
sb,28,5.134072580403881e-06,0.0,0.25
sb,29,0.0002024291461566463,0.0,32.75
sb,30,2.3470045562135056e-05,0.0,2.25
sb,31,9.388018224854022e-05,0.0,8.5
sb,32,26.34980583190918,0.0,461714.46875
sb,33,285.1725158691406,0.0,4993722.5
sb,34,0.0,0.0,0.0
sb,35,2.9706103801727295,0.0,46983.86328125
sb,36,0.21701869368553162,0.0,3656.499267578125
ns,1,0.4889867305755615,0.0,82887.3828125
ns,2,0.004787155892699957,0.0,93.50001525878906
ns,3,0.007244908716529608,0.0,576.124755859375
ns,4,0.004167400300502777,0.0,365.25
ns,5,0.00013201900583226234,0.0,9.875
ns,6,0.009382151998579502,0.0,1408.750244140625
ns,7,0.846623957157135,0.0,66588.015625
ns,8,0.8594362139701843,0.0,133816.21875
ns,9,24.297149658203125,0.0,1998282.5
ns,10,3.700826644897461,0.0,194832.8125
ns,11,22.319366455078125,0.0,1313082.75
ns,12,67.49493408203125,0.0,7400499.5
ns,13,61.244239807128906,0.0,4465735.5
ns,14,52.91401672363281,0.0,2226101.0
ns,15,234.0980987548828,0.0,21189940.0
ns,16,12.912358283996582,0.0,1715554.5
ns,17,1.0165280103683472,0.0,87122.5078125
ns,18,28.558334350585938,0.0,1503984.5
ns,19,36.23883056640625,0.0,1657981.0
ns,20,39.39350509643555,0.0,1706221.75
ns,21,23.363176345825195,0.0,2773573.5
ns,22,19.519542694091797,0.0,1439767.375
ns,23,93.5040054321289,0.0,6433861.0
ns,24,5.651423454284668,0.0,599659.625
ns,25,0.9161568284034729,0.0,46262.50390625
ns,26,3.9795422554016113,0.0,302340.59375
ns,27,116.741455078125,0.0,3729554.0
ns,28,72.86314392089844,0.0,7160726.5
ns,29,39.895301818847656,0.0,3905453.75
ns,30,3.8785645961761475,0.0,285298.625
ns,31,57.34062576293945,0.0,7921425.5
ns,32,27.875646591186523,0.0,3488468.25
ns,33,10.610593795776367,0.0,1265933.625
ns,34,15.339580535888672,0.0,728501.0
ns,35,29.651302337646484,0.0,3021644.5
ns,36,114.72189331054688,0.0,14984562.0
os,1,0.05542817711830139,0.0,6775.7490234375
os,2,0.06206141412258148,0.0,5270.37744140625
os,3,0.013104356825351715,0.0,1142.12548828125
os,4,0.023051250725984573,0.0,675.7498168945312
os,5,2.2781002521514893,0.0,383176.125
os,6,0.5022897124290466,0.0,66755.3671875
os,7,0.3493252694606781,0.0,38071.13671875
os,8,3.0107200145721436,0.0,245927.765625
os,9,0.19995158910751343,0.0,24583.623046875
os,10,2.3998286724090576,0.0,258005.53125
os,11,34.53782653808594,0.0,4887561.0
os,12,53.58772659301758,0.0,5400882.0
os,13,23.136014938354492,0.0,1612257.0
os,14,31.688051223754883,0.0,3635613.5
os,15,15.914661407470703,0.0,1427813.875
os,16,21.640832901000977,0.0,1232200.75
os,17,31.924543380737305,0.0,5023538.0
os,18,2.468846321105957,0.0,262980.34375
os,19,16.75404930114746,0.0,1546714.5
os,20,24.297985076904297,0.0,1938150.625
os,21,81.10478973388672,0.0,7346593.0
os,22,45.0591926574707,0.0,5099407.5
os,23,40.07160186767578,0.0,4217924.5
os,24,54.331214904785156,0.0,5395558.5
os,25,32.44573211669922,0.0,4258350.0
os,26,35.365203857421875,0.0,3569724.0
os,27,19.1087589263916,0.0,2551483.0
os,28,49.34288024902344,0.0,5708963.5
os,29,61.71848678588867,0.0,5949350.0
os,30,4.062088489532471,0.0,448129.53125
os,31,14.592921257019043,0.0,2405883.0
os,32,79.15780639648438,0.0,8334551.0
os,33,87.39608764648438,0.0,10540825.0
os,34,29.99724006652832,0.0,2818196.75
os,35,55.22355270385742,0.0,8422846.0
os,36,16.570674896240234,0.0,817338.0
