target,h,M_mean,M_p99,M_max
sb,1,0.18309131264686584,0.0,8218.0029296875
sb,2,0.026474211364984512,0.0,193.75003051757812
sb,3,0.017713284119963646,0.0,132.87496948242188
sb,4,0.018013261258602142,0.0,155.37498474121094
sb,5,0.01378718577325344,0.0,192.7500457763672
sb,6,0.011364636942744255,0.0,380.25006103515625
sb,7,0.0064469282515347,0.0,194.125
sb,8,0.003085577627643943,0.0,35.74999237060547
sb,9,0.004338291473686695,0.0,256.125
sb,10,0.0017756556626409292,0.0,54.00000762939453
sb,11,0.0007561755483038723,0.0,28.874998092651367
sb,12,0.0004701343714259565,0.0,10.25
sb,13,0.00019289444026071578,0.0,11.000001907348633
sb,14,0.0002156310511054471,0.0,17.25
sb,15,4.767353311763145e-05,0.0,4.25
sb,16,2.7137240977026522e-05,0.0,0.625
sb,17,2.3470045562135056e-05,0.0,0.25
sb,18,1.3935339666204527e-05,0.0,0.125
sb,19,1.686909672571346e-05,0.0,0.25
sb,20,1.7602535081095994e-05,0.0,0.125
sb,21,3.8872265577083454e-05,0.0,3.875
sb,22,2.640380262164399e-05,0.0,1.6250001192092896
sb,23,1.5402218195958994e-05,0.0,0.25
sb,24,1.9069411791861057e-05,0.0,0.125
sb,25,1.7602535081095994e-05,0.0,0.25
sb,26,1.3201901310821995e-05,0.0,0.125
sb,27,1.3935339666204527e-05,0.0,0.25
sb,28,1.2468462045944761e-05,0.0,0.25
sb,29,1.9069411791861057e-05,0.0,0.125
sb,30,1.2468462045944761e-05,0.0,0.125
sb,31,1.0268145160807762e-05,0.0,0.125
sb,32,1.1001584425684996e-05,0.0,0.25
sb,33,1.5402218195958994e-05,0.0,0.125
sb,34,1.3935339666204527e-05,0.0,0.125
sb,35,1.686909672571346e-05,0.0,0.125
sb,36,1.5402218195958994e-05,0.0,0.125
ns,1,0.0617717020213604,0.0,6278.126953125
ns,2,0.007387930527329445,0.0,106.25001525878906
ns,3,0.004449040628969669,0.0,42.00000762939453
ns,4,0.006473332177847624,0.0,154.375
ns,5,0.006708032451570034,0.0,134.12503051757812
ns,6,0.0038894268218427896,0.0,39.875
ns,7,0.008463151752948761,0.0,490.0000915527344
ns,8,0.00433315709233284,0.0,102.375
ns,9,0.0021159714087843895,0.0,22.000001907348633
ns,10,0.0015548905357718468,0.0,41.50000762939453
ns,11,0.0010693540098145604,0.0,10.125
ns,12,0.001635568798519671,0.0,22.625003814697266
ns,13,0.0018482661107555032,0.0,40.625003814697266
ns,14,0.0014617436099797487,0.0,138.49996948242188
ns,15,0.00018042598094325513,0.0,2.25
ns,16,0.0003447163035161793,0.0,7.25
ns,17,0.0006256234482862055,0.0,18.0
ns,18,0.0006424926104955375,0.0,53.75000762939453
ns,19,0.00026917210198007524,0.0,6.75
ns,20,0.0001686909527052194,0.0,3.875000238418579
ns,21,0.0012028398923575878,0.0,83.375
ns,22,0.00035205070162191987,0.0,11.249998092651367
ns,23,7.627764716744423e-05,0.0,1.375
ns,24,3.373819345142692e-05,0.0,0.25
ns,25,2.5670362447272055e-05,0.0,0.25
ns,26,3.0070996217546053e-05,0.0,0.25
ns,27,2.3470045562135056e-05,0.0,0.25
ns,28,2.933755786216352e-05,0.0,0.375
ns,29,2.4936924091889523e-05,0.0,0.25
ns,30,1.9802851966232993e-05,0.0,0.125
ns,31,2.860411950678099e-05,0.0,0.25
ns,32,2.2003168851369992e-05,0.0,0.25
ns,33,2.5670362447272055e-05,0.0,0.25
ns,34,2.933755786216352e-05,0.0,0.25
ns,35,2.3470045562135056e-05,0.0,0.25
ns,36,2.1269728676998056e-05,0.0,0.125
os,1,0.02378028817474842,0.0,2101.749267578125
os,2,0.003257935866713524,0.0,161.99996948242188
os,3,0.0025890395045280457,0.0,63.500003814697266
os,4,0.003060640301555395,0.0,212.7499542236328
os,5,0.0017617203993722796,0.0,70.12500762939453
os,6,0.0014126035384833813,0.0,67.25001525878906
os,7,0.0006615619640797377,0.0,30.125003814697266
os,8,0.00041879364289343357,0.0,13.750001907348633
os,9,0.00123657810036093,0.0,68.49999237060547
os,10,0.0003733204212039709,0.0,26.625001907348633
os,11,0.00012541805335786194,0.0,3.749999761581421
os,12,0.0003205128596164286,0.0,38.87500762939453
os,13,0.00014815464965067804,0.0,13.874998092651367
os,14,8.87461137608625e-05,0.0,3.875
os,15,4.620665276888758e-05,0.0,0.375
os,16,4.4739776058122516e-05,0.0,0.625
os,17,4.327289934735745e-05,0.0,0.7499999403953552
os,18,4.9873848183779046e-05,0.0,2.0
os,19,3.9605703932465985e-05,0.0,0.375
os,20,5.9408554079709575e-05,0.0,0.25
os,21,5.060728653916158e-05,0.0,0.25
os,22,8.727923705009744e-05,0.0,6.374999523162842
os,23,3.740538522833958e-05,0.0,0.375
os,24,4.4739776058122516e-05,0.0,0.25
os,25,4.9140409828396514e-05,0.0,0.375
os,26,4.180601899861358e-05,0.0,0.25
os,27,5.794167736894451e-05,0.0,0.25
os,28,4.107258064323105e-05,0.0,0.375
os,29,4.107258064323105e-05,0.0,0.375
os,30,3.740538522833958e-05,0.0,0.25
os,31,3.8872265577083454e-05,0.0,0.25
os,32,4.033914228784852e-05,0.0,0.375
os,33,6.0141992435092106e-05,0.0,0.375
os,34,4.840697147301398e-05,0.0,0.375
os,35,3.3004751458065584e-05,0.0,0.25
os,36,3.080443639191799e-05,0.0,0.375
