target,h,M_mean,M_p99,M_max
sb,1,0.011619873344898224,0.0,528.3750610351562
sb,2,0.016990114003419876,0.0,1764.375
sb,3,0.02217039465904236,0.0,2516.0
sb,4,0.010672268457710743,0.0,624.9999389648438
sb,5,0.009869886562228203,0.0,487.6248474121094
sb,6,0.01343880221247673,0.0,608.1249389648438
sb,7,0.012599010951817036,0.0,575.874755859375
sb,8,0.0010788887739181519,0.0,120.50001525878906
sb,9,0.006487265229225159,0.0,847.1246337890625
sb,10,3.230381727218628,0.0,74363.984375
sb,11,4.9933366775512695,0.0,324293.625
sb,12,0.0012277767527848482,0.0,30.874998092651367
sb,13,0.0034478968009352684,0.0,164.62501525878906
sb,14,28.006052017211914,0.0,499676.78125
sb,15,21.10568618774414,0.0,463047.5
sb,16,141.19879150390625,0.0,2398227.25
sb,17,0.01267896220088005,0.0,1787.37548828125
sb,18,2.125434160232544,0.0,33363.76171875
sb,19,86.42588806152344,0.0,1500325.75
sb,20,0.005659213289618492,0.0,489.8748474121094
sb,21,0.20459425449371338,0.0,3252.249267578125
sb,22,7.4780497550964355,0.0,136625.828125
sb,23,0.00026403804076835513,0.0,36.750003814697266
sb,24,3.66719473277044e-06,0.0,0.375
sb,25,0.00015475561667699367,0.0,5.375000476837158
sb,26,143.7451934814453,0.0,1958515.0
sb,27,0.00020756322192028165,0.0,3.625000238418579
sb,28,0.011974860914051533,0.0,2039.7506103515625
sb,29,0.00011735024600056931,0.0,20.000001907348633
sb,30,9.53470680542523e-06,0.0,1.6250001192092896
sb,31,2.5670362447272055e-05,0.0,0.625
sb,32,26.36116600036621,0.0,461516.375
sb,33,285.8555603027344,0.0,4993646.5
sb,34,0.0,0.0,0.0
sb,35,2.8452978134155273,0.0,42923.9921875
sb,36,0.2161385864019394,0.0,3637.62646484375
ns,1,0.006358182057738304,0.0,956.375
ns,2,0.0011463650735095143,0.0,52.25
ns,3,0.0007862465572543442,0.0,60.24999237060547
ns,4,0.004274482373148203,0.0,579.875
ns,5,2.4111688137054443,0.0,282629.5625
ns,6,22.37579917907715,0.0,3059491.0
ns,7,21.29836082458496,0.0,3580566.25
ns,8,2.566962957382202,0.0,340031.21875
ns,9,22.984704971313477,0.0,2067933.375
ns,10,160.9016571044922,0.0,23431026.0
ns,11,0.06895649433135986,0.0,8513.25390625
ns,12,0.28297826647758484,0.0,27424.740234375
ns,13,0.5607189536094666,0.0,83472.3359375
ns,14,0.0011463648406788707,0.0,98.62498474121094
ns,15,29.796476364135742,0.0,1696467.0
ns,16,22.77220344543457,0.0,1186927.75
ns,17,40.987796783447266,0.0,5187700.0
ns,18,48.42637634277344,0.0,4409736.5
ns,19,41.27145767211914,0.0,6893605.0
ns,20,145.4261474609375,0.0,6444583.0
ns,21,51.140743255615234,0.0,3926224.75
ns,22,3.672999143600464,0.0,238011.546875
ns,23,25.09136962890625,0.0,2436802.25
ns,24,81.219482421875,0.0,4881999.0
ns,25,52.31087112426758,0.0,3732571.25
ns,26,86.28634643554688,0.0,14228886.0
ns,27,3.4798061847686768,0.0,406095.65625
ns,28,22.971145629882812,0.0,1204302.25
ns,29,32.68910217285156,0.0,2816052.75
ns,30,20.015565872192383,0.0,2577927.75
ns,31,29.359285354614258,0.0,2841633.0
ns,32,10.76282024383545,0.0,748124.875
ns,33,54.651329040527344,0.0,3212091.5
ns,34,122.5231704711914,0.0,12383368.0
ns,35,3.8914456367492676,0.0,592224.1875
ns,36,9.043426513671875,0.0,1464034.0
os,1,0.04840110242366791,0.0,4265.37646484375
os,2,0.07376124709844589,0.0,11768.12890625
os,3,0.010344423353672028,0.0,495.7501220703125
os,4,0.02625124715268612,0.0,2630.499755859375
os,5,2.711660623550415,0.0,437752.8125
os,6,3.4175827503204346,0.0,555316.375
os,7,1.942353367805481,0.0,256314.546875
os,8,0.9793328046798706,0.0,163128.3125
os,9,35.751556396484375,0.0,3325331.0
os,10,23.924301147460938,0.0,3078157.5
os,11,0.17758314311504364,0.0,27359.74609375
os,12,4.270271301269531,0.0,493187.96875
os,13,28.828401565551758,0.0,3077130.0
os,14,23.022443771362305,0.0,2182861.0
os,15,12.042084693908691,0.0,1889206.125
os,16,19.958576202392578,0.0,1996000.75
os,17,93.50798797607422,0.0,5866875.0
os,18,59.49280548095703,0.0,9164405.0
os,19,18.797807693481445,0.0,3087312.25
os,20,42.30656051635742,0.0,4979769.5
os,21,43.813961029052734,0.0,3320153.25
os,22,4.1655354499816895,0.0,151912.578125
os,23,0.37626439332962036,0.0,40478.7421875
os,24,45.13566970825195,0.0,4206219.0
os,25,106.61798858642578,0.0,9556011.0
os,26,49.74798583984375,0.0,3572128.25
os,27,30.924074172973633,0.0,3529852.0
os,28,190.33535766601562,0.0,18876836.0
os,29,53.89697265625,0.0,6647748.5
os,30,25.01982307434082,0.0,2342761.75
os,31,3.411726951599121,0.0,476250.03125
os,32,3.292367458343506,0.0,231579.4375
os,33,14.22615909576416,0.0,1133397.625
os,34,35.027870178222656,0.0,4696307.0
os,35,33.69214630126953,0.0,4112584.75
os,36,62.189918518066406,0.0,6921206.0
