target,h,M_mean,M_p99,M_max
sb,1,0.023936517536640167,0.0,1408.000732421875
sb,2,0.0009285337291657925,0.0,64.0
sb,3,4.547321077552624e-05,0.0,5.124999523162842
sb,4,0.0002567036426626146,0.0,33.000003814697266
sb,5,0.0,0.0,0.0
sb,6,0.0,0.0,0.0
sb,7,0.0,0.0,0.0
sb,8,0.0,0.0,0.0
sb,9,0.0,0.0,0.0
sb,10,0.0,0.0,0.0
sb,11,0.0,0.0,0.0
sb,12,0.0,0.0,0.0
sb,13,0.0,0.0,0.0
sb,14,0.0,0.0,0.0
sb,15,0.0,0.0,0.0
sb,16,0.0,0.0,0.0
sb,17,0.0,0.0,0.0
sb,18,0.0,0.0,0.0
sb,19,0.0,0.0,0.0
sb,20,0.0,0.0,0.0
sb,21,0.0,0.0,0.0
sb,22,0.0,0.0,0.0
sb,23,0.0,0.0,0.0
sb,24,0.0,0.0,0.0
sb,25,0.0,0.0,0.0
sb,26,0.0,0.0,0.0
sb,27,0.0,0.0,0.0
sb,28,0.0,0.0,0.0
sb,29,0.0,0.0,0.0
sb,30,0.0,0.0,0.0
sb,31,0.0,0.0,0.0
sb,32,0.0,0.0,0.0
sb,33,0.0,0.0,0.0
sb,34,0.0,0.0,0.0
sb,35,0.0,0.0,0.0
sb,36,0.0,0.0,0.0
ns,1,0.0017991256900131702,0.0,120.49999237060547
ns,2,1.3935339666204527e-05,0.0,1.25
ns,3,7.334389238167205e-07,0.0,0.125
ns,4,0.0,0.0,0.0
ns,5,0.0,0.0,0.0
ns,6,0.0,0.0,0.0
ns,7,0.0,0.0,0.0
ns,8,0.0,0.0,0.0
ns,9,0.0,0.0,0.0
ns,10,0.0,0.0,0.0
ns,11,0.0,0.0,0.0
ns,12,0.0,0.0,0.0
ns,13,0.0,0.0,0.0
ns,14,0.0,0.0,0.0
ns,15,0.0,0.0,0.0
ns,16,0.0,0.0,0.0
ns,17,0.0,0.0,0.0
ns,18,0.0,0.0,0.0
ns,19,0.0,0.0,0.0
ns,20,0.0,0.0,0.0
ns,21,0.0,0.0,0.0
ns,22,0.0,0.0,0.0
ns,23,0.0,0.0,0.0
ns,24,0.0,0.0,0.0
ns,25,0.0,0.0,0.0
ns,26,0.0,0.0,0.0
ns,27,0.0,0.0,0.0
ns,28,0.0,0.0,0.0
ns,29,0.0,0.0,0.0
ns,30,0.0,0.0,0.0
ns,31,0.0,0.0,0.0
ns,32,0.0,0.0,0.0
ns,33,0.0,0.0,0.0
ns,34,0.0,0.0,0.0
ns,35,0.0,0.0,0.0
ns,36,0.0,0.0,0.0
os,1,0.07360205054283142,0.0,5925.123046875
os,2,0.005885112565010786,0.0,678.1246948242188
os,3,4.547321441350505e-05,0.0,5.0
os,4,0.0,0.0,0.0
os,5,0.0,0.0,0.0
os,6,0.0,0.0,0.0
os,7,0.0,0.0,0.0
os,8,0.0,0.0,0.0
os,9,0.0,0.0,0.0
os,10,0.0,0.0,0.0
os,11,0.0,0.0,0.0
os,12,0.0,0.0,0.0
os,13,0.0,0.0,0.0
os,14,0.0,0.0,0.0
os,15,0.0,0.0,0.0
os,16,0.0,0.0,0.0
os,17,0.0,0.0,0.0
os,18,0.0,0.0,0.0
os,19,0.0,0.0,0.0
os,20,0.0,0.0,0.0
os,21,0.0,0.0,0.0
os,22,0.0,0.0,0.0
os,23,0.0,0.0,0.0
os,24,0.0,0.0,0.0
os,25,0.0,0.0,0.0
os,26,0.0,0.0,0.0
os,27,0.0,0.0,0.0
os,28,0.0,0.0,0.0
os,29,0.0,0.0,0.0
os,30,0.0,0.0,0.0
os,31,0.0,0.0,0.0
os,32,0.0,0.0,0.0
os,33,0.0,0.0,0.0
os,34,0.0,0.0,0.0
os,35,0.0,0.0,0.0
os,36,0.0,0.0,0.0
