target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,gate_source
sb,zinb_sample,1,170430,1320,0.29254285991700124,0.0063592824033327465,0.13979227184888232,15.57612452121508,0.019302894702862682,0.25,1.490185645308521,frac(samples>0)
sb,zinb_sample,2,170430,1318,0.23346241653313732,0.006796778736138004,0.13876912460572205,14.79847542572433,0.02451648194952778,0.17604166666666665,1.4460075801123693,frac(samples>0)
sb,zinb_sample,3,170430,1315,0.22294046606227425,0.0070186440180719355,0.1348942750501939,14.326770439602349,0.024541455037858602,0.18838028169014084,1.4141782370568396,frac(samples>0)
sb,zinb_sample,4,170430,1312,0.22155520489481365,0.007226390600246435,0.1267237653261055,12.500809841505365,0.03072688189591361,0.243376348329627,1.5544233473754845,frac(samples>0)
sb,zinb_sample,5,170430,1295,0.20314724898525113,0.007285524115472628,0.12797189483575674,12.860786673944428,0.030481753002630955,0.175,1.3151214974981922,frac(samples>0)
sb,zinb_sample,6,170430,1312,0.18724057549807527,0.007833494689902012,0.13845713841705642,13.395841284700465,0.035607719668467666,0.1875,1.8226645534330284,frac(samples>0)
sb,zinb_sample,7,170430,1314,0.16558584545791993,0.008190771137710497,0.13669550953255757,12.818647738920363,0.03815908938653013,0.16927083995607164,1.3583434748245744,frac(samples>0)
sb,zinb_sample,8,170430,1308,0.15585296803330473,0.008415661855307165,0.13584472056571598,12.63805668226896,0.03915184059795397,0.18509614788568934,1.2214884136543718,frac(samples>0)
sb,zinb_sample,9,170430,1334,0.14762013135455335,0.008723614533826205,0.14089884829874058,12.504638316676669,0.04336118655147183,0.2015625,1.6430452165709226,frac(samples>0)
sb,zinb_sample,10,170430,1336,0.13915373983651422,0.009156343513465939,0.1405479893233042,12.257403164906817,0.044813554543953214,0.1734375,1.4642761366767103,frac(samples>0)
sb,zinb_sample,11,170430,1345,0.1369331976289393,0.009506285571789005,0.14858620540885756,12.406389412943094,0.0510805407187103,0.1907894862325568,1.7078685073776483,frac(samples>0)
sb,zinb_sample,12,170430,1355,0.14115190988451692,0.00984073373232412,0.15290148521880131,12.202352415426631,0.056334837219797256,0.22635135135135134,1.8810710786569174,frac(samples>0)
sb,zinb_sample,13,170430,1383,0.12720175741415124,0.010393104940444757,0.16393020664614594,13.125745667897526,0.05788756298544412,0.19029850746268656,1.6066247346974447,frac(samples>0)
sb,zinb_sample,14,170430,1409,0.12278784997793565,0.01095941148858769,0.17578331348706192,13.595136181614643,0.06391633724628852,0.20833333333333334,1.6138563633749528,frac(samples>0)
sb,zinb_sample,15,170430,1423,0.11302661916958157,0.011287717097928768,0.18176936727542417,14.185150216241286,0.06386412697130409,0.16666666666666666,1.5809990213380103,frac(samples>0)
sb,zinb_sample,16,170430,1467,0.10831416688379711,0.011949370709382151,0.1907972670457669,13.89957181037224,0.07177255598441068,0.18750001192092897,1.5725277632641022,frac(samples>0)
sb,zinb_sample,17,170430,1512,0.11194776665664757,0.012576369330516928,0.20268172886547633,13.975188080684612,0.0794028029727323,0.16462052719933645,1.6819705301657617,frac(samples>0)
