target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,gate_source
sb,zinb_oracle,1,170430,1320,0.30026893475092736,0.00630234920495218,0.13981436671093408,15.577805391761164,0.019312041874636383,0.25,1.5553228569018767,frac(samples>0)
sb,zinb_oracle,2,170430,1318,0.2844036043303861,0.006332420201842399,0.13080663644063711,14.348420907173741,0.019999505019885015,0.23214285714285715,1.4843262231592287,frac(samples>0)
sb,zinb_oracle,3,170430,1315,0.2955086593400487,0.006202876547556181,0.12463566437044495,13.91968868340263,0.01736845140868921,0.211864406779661,1.4235080275535024,frac(samples>0)
sb,zinb_oracle,4,170430,1312,0.29933351201079006,0.006206818781904594,0.11225338146031054,12.051924547083994,0.019626644097650896,0.2361111111111111,1.539516820901594,frac(samples>0)
sb,zinb_oracle,5,170430,1295,0.3034833323191496,0.006092310626063487,0.11322876337889648,12.472309349672905,0.01860015688555837,0.23214285714285715,1.5733128700170271,frac(samples>0)
sb,zinb_oracle,6,170430,1312,0.3061221448723451,0.006108446282931409,0.11486075673623278,12.476753038195211,0.018958471507728534,0.26854395604395603,1.5508308057360436,frac(samples>0)
sb,zinb_oracle,7,170430,1314,0.3047028574851757,0.006141451035615795,0.10964068847563649,11.950853791042505,0.017636655641529334,0.2536960285769081,1.2872882163814054,frac(samples>0)
sb,zinb_oracle,8,170430,1308,0.3103573223727532,0.006052888282579358,0.10701543539307846,11.866327400960097,0.016068189907797667,0.25,1.3285915021497419,frac(samples>0)
sb,zinb_oracle,9,170430,1334,0.3164796247297918,0.006099920055154609,0.10893878728087496,11.564936274509023,0.018562310912644195,0.30901700542438143,1.5539746929802207,frac(samples>0)
sb,zinb_oracle,10,170430,1336,0.3058389056708707,0.006181973537522737,0.10733943207399607,11.597726427236138,0.016554679063619477,0.26516812865497075,1.3659337017463942,frac(samples>0)
sb,zinb_oracle,11,170430,1345,0.31526491303933485,0.006142367834301473,0.10877413039736636,11.68019285101762,0.016728365372472128,0.25,1.3720608063464512,frac(samples>0)
sb,zinb_oracle,12,170430,1355,0.30138054401663666,0.006287588746112773,0.10721456399534444,11.330189098307788,0.01727145890001184,0.3055555555555556,1.3797436415490525,frac(samples>0)
sb,zinb_oracle,13,170430,1383,0.31000607644177647,0.00635185633397876,0.11509619088990898,12.117927535824256,0.01689914657652748,0.2734375,1.438852125712943,frac(samples>0)
sb,zinb_oracle,14,170430,1409,0.3184750908298061,0.006439777327935223,0.12464409875000144,12.90619453752904,0.018093998062869893,0.30970154947309353,1.5208783798574348,frac(samples>0)
sb,zinb_oracle,15,170430,1423,0.3068920315643553,0.006527698321891685,0.1270529874885337,13.22868718973931,0.016740246183127076,0.275,1.3127789524003326,frac(samples>0)
sb,zinb_oracle,16,170430,1467,0.312004048686278,0.006674752831074341,0.1294915801215702,13.050048975623133,0.017310465326018553,0.2907609110293181,1.3304934269083408,frac(samples>0)
sb,zinb_oracle,17,170430,1512,0.31550082354465003,0.0068434437892389835,0.1368940879796768,13.307322674332354,0.01900441356626173,0.25,1.287445338177505,frac(samples>0)
sb,zinb_oracle,18,170430,1527,0.333540087242456,0.006810072317080326,0.13036593118792777,12.498577683193082,0.01854873821141541,0.32516894469390045,1.4379663290169387,frac(samples>0)
sb,zinb_oracle,19,170430,1522,0.3079072823405387,0.0069802301531420525,0.12551386598507466,12.017924613898202,0.018353464119421285,0.2604895196594558,1.274663197427903,frac(samples>0)
sb,zinb_oracle,20,170430,1518,0.29421506401304864,0.007063292114064425,0.13174699676436052,12.665832921774255,0.019104067699729117,0.26429738562091504,1.4322169730690835,frac(samples>0)
sb,zinb_oracle,21,170430,1546,0.3020703380595879,0.00707447705802969,0.12565376915289875,11.742642284499874,0.01930938931391801,0.30000001192092896,1.5139969927021286,frac(samples>0)
sb,zinb_oracle,22,170430,1537,0.32809712627733983,0.0068808491756146214,0.1230687637834865,11.505825068096332,0.01948071430998052,0.35,1.5571722715136087,frac(samples>0)
sb,zinb_oracle,23,170430,1563,0.32497226294128373,0.007047614856539342,0.12903767336534375,11.908559266151295,0.02000872010908622,0.3076923443720891,1.5146267033243264,frac(samples>0)
sb,zinb_oracle,24,170430,1579,0.3091528638966865,0.00720796294666432,0.13396491612298056,12.191487885218885,0.021209713203232172,0.2875,1.643389867758907,frac(samples>0)
sb,zinb_oracle,25,170430,1616,0.30183069881763624,0.007445688845860471,0.13917572476668816,12.623859060914395,0.019664023893450795,0.2500000227581371,1.4254239881823922,frac(samples>0)
sb,zinb_oracle,26,170430,1611,0.3205420116928019,0.007268655019656164,0.14169270403550724,13.055933824025239,0.018455139280927162,0.2647058823529412,1.2843591280327302,frac(samples>0)
sb,zinb_oracle,27,170430,1619,0.301888219272701,0.007469800651293787,0.1444064281657465,13.006475843429344,0.021051372018269343,0.34375,1.5429757124885637,frac(samples>0)
sb,zinb_oracle,28,170430,1635,0.31718323184565966,0.007413050812650355,0.15431564673505982,13.983266447972085,0.020364199357930546,0.34375,1.7963368313651396,frac(samples>0)
sb,zinb_oracle,29,170430,1647,0.31671305773354247,0.00751674074400047,0.1578929952222672,13.972791441427301,0.023085948654190523,0.3375,1.6767448536021765,frac(samples>0)
sb,zinb_oracle,30,170430,1641,0.31158984648459465,0.007508489555829373,0.1691636599292552,15.491401978300193,0.02019783229566112,0.2625,1.3816387662311502,frac(samples>0)
sb,zinb_oracle,31,170430,1649,0.30219408018351224,0.007607778853488236,0.1702606094701098,15.652999922502142,0.01899336299574466,0.2375,1.338551770973202,frac(samples>0)
sb,zinb_oracle,32,170430,1679,0.30303479180622445,0.007728429560523382,0.179286125949623,16.242536494505057,0.019463681230453507,0.25,1.5112944060258302,frac(samples>0)
sb,zinb_oracle,33,170430,1692,0.31356012071386186,0.007716144458135305,0.17552560090394406,15.436964392516735,0.022493358993948435,0.35625,1.7276884981200331,frac(samples>0)
sb,zinb_oracle,34,170430,1705,0.29910431201919657,0.007907113624361908,0.19836360638838682,17.61298571454902,0.0223853536433053,0.3125,1.644389566028679,frac(samples>0)
sb,zinb_oracle,35,170430,1742,0.27905230389613206,0.008224509329343425,0.21458095001601168,18.93433374863644,0.02126661007958001,0.22474316374896325,1.3481027388385118,frac(samples>0)
sb,zinb_oracle,36,170430,1761,0.3105902217289723,0.00805031757906472,0.8708421346864873,82.27102851740749,0.02097803268806623,0.25,1.4280049098016387,frac(samples>0)
ns,zinb_oracle,1,170430,587,0.2042868524752221,0.0029982984216393826,0.08327850889464167,21.751171204082198,0.008391389542798522,0.03125,1.1017039211533772,frac(samples>0)
ns,zinb_oracle,2,170430,567,0.22840597409880414,0.0028287823446576307,0.08114300965506524,21.925677894521012,0.008226298660210614,0.08152173913043478,1.209205432112168,frac(samples>0)
ns,zinb_oracle,3,170430,566,0.227008778691172,0.0028252068297834887,0.07271350411372426,19.81189265028432,0.006941030860224062,0.03125,1.0477600135515863,frac(samples>0)
ns,zinb_oracle,4,170430,560,0.2177420575066045,0.002818789238983747,0.06703311121189062,17.969587064414686,0.008014860703892948,0.042145590215807216,1.1892268671892094,frac(samples>0)
ns,zinb_oracle,5,170430,556,0.2191543991437329,0.0027907351992020185,0.06497544830510127,17.56913221344727,0.0076840961180741464,0.09720849802371542,1.209865249623532,frac(samples>0)
ns,zinb_oracle,6,170430,541,0.2209620307308078,0.0027280261691016838,0.06610714456471194,18.27553144539405,0.008120467694822345,0.04054054054054054,0.997674903322993,frac(samples>0)
ns,zinb_oracle,7,170430,525,0.2147709879758696,0.002666692337029866,0.060906145565562814,17.469464275652452,0.007114361814080411,0.03125,1.14821603847946,frac(samples>0)
ns,zinb_oracle,8,170430,515,0.2201260433948979,0.002606825382855131,0.060499911956112686,17.537530309280147,0.007528304654686228,0.0375,1.4071414249884282,frac(samples>0)
ns,zinb_oracle,9,170430,510,0.1987534992972435,0.0026333208648712083,0.0608376606820594,17.679136039229,0.007957880944188986,0.0,0.975700112581597,frac(samples>0)
ns,zinb_oracle,10,170430,524,0.1899189101119539,0.0027063897201196974,0.06169175046852327,17.58033158783694,0.007663244854942516,0.02260348496224106,0.9687054033328598,frac(samples>0)
ns,zinb_oracle,11,170430,516,0.21294253644473263,0.00260444170627237,0.05801199545350138,16.878603429945056,0.006930712097229136,0.03807773109243698,1.0583395743761144,frac(samples>0)
ns,zinb_oracle,12,170430,521,0.22991650107954958,0.00262066904300886,0.05514003191374315,15.424334220345099,0.008012745118030531,0.014830508474576272,1.2396191788914648,frac(samples>0)
ns,zinb_oracle,13,170430,516,0.2204235745946067,0.002591331485067183,0.04663846596567478,13.087814934927133,0.007034624857913724,0.03361285770202873,1.3664051391363856,frac(samples>0)
ns,zinb_oracle,14,170430,509,0.2132526494836309,0.002570428475033738,0.04246107280776337,11.704199407579036,0.007528222763339329,0.04891304347826087,1.13287768221259,frac(samples>0)
ns,zinb_oracle,15,170430,505,0.2008604215033719,0.0025944486005984864,0.04218951705992939,11.839418323426553,0.007129340233593386,0.011363636363636364,1.21978175527528,frac(samples>0)
ns,zinb_oracle,16,170430,504,0.1987971361190122,0.0025844554949246024,0.03925429435372213,10.888485868431864,0.007075506449955878,0.044901317358016966,1.1978320794119302,frac(samples>0)
ns,zinb_oracle,17,170430,506,0.20753020659599544,0.002567678078976706,0.04078195613542752,11.313796948361773,0.007213151339951122,0.03125,1.0677138056187552,frac(samples>0)
ns,zinb_oracle,18,170430,518,0.20052636141777885,0.002636529660271079,0.04147606438734802,11.197997111309334,0.007463882185351762,0.0625,1.111326269212494,frac(samples>0)
ns,zinb_oracle,19,170430,526,0.19382135315066862,0.0026886955054861235,0.04061537381743123,10.821827478026936,0.0072381868953211,0.020643939393939395,1.1588166416327852,frac(samples>0)
ns,zinb_oracle,20,170430,514,0.20707263975362125,0.0026284618318371178,0.04028780156760605,10.924884478014382,0.007361633980718159,0.005505952380952381,1.0592695956259113,frac(samples>0)
ns,zinb_oracle,21,170430,509,0.19520489333446361,0.0026297453499970662,0.04050489947499716,11.19465250548246,0.007092542371061805,0.0,1.1019873313106134,frac(samples>0)
ns,zinb_oracle,22,170430,516,0.19961647484958067,0.002630478788945608,0.03999845986852608,11.009811055117337,0.006684999534778496,0.030397728356448085,1.071428196599564,frac(samples>0)
ns,zinb_oracle,23,170430,498,0.1898181975032488,0.0025761126268849383,0.03640662599085034,9.874529365719441,0.00757518091643917,0.010146103896103896,1.1426994643713257,frac(samples>0)
ns,zinb_oracle,24,170430,492,0.16400711368170656,0.002584638854661738,0.03475281281216089,9.684324191580338,0.006815629143093682,0.025,1.1472245740870244,frac(samples>0)
ns,zinb_oracle,25,170430,477,0.18011240447924065,0.0024866330751628233,0.03565833487400446,10.36458333533265,0.0066685716734797605,0.0625,1.0434525410011548,frac(samples>0)
ns,zinb_oracle,26,170430,467,0.1689184300586794,0.0024803988441002172,0.035001540334973616,10.424986621791724,0.0064534267276573016,0.003048780487804878,0.9025702782780544,frac(samples>0)
ns,zinb_oracle,27,170430,459,0.13369880980183496,0.0025123951182303584,0.03518224125734022,10.72041803090336,0.0063271822917077124,0.0,0.925239855618289,frac(samples>0)
ns,zinb_oracle,28,170430,463,0.11842037532302334,0.0025884894091415833,0.03614543001994535,10.667487850827095,0.007185034526504213,0.0,1.0386132421384975,frac(samples>0)
ns,zinb_oracle,29,170430,451,0.12291267608202659,0.0024969012204424106,0.03501492561960993,10.893188756991782,0.006205270321315142,0.0,0.7079832447158922,frac(samples>0)
ns,zinb_oracle,30,170430,434,0.11797177417019573,0.0024236490054567856,0.03310486723371656,10.403837841261641,0.006628373017804901,0.0,0.8030299589299313,frac(samples>0)
ns,zinb_oracle,31,170430,404,0.1410340950053075,0.0022235118523734085,0.030886489434398017,10.482518583130423,0.0060522913361471965,0.0,0.9456919251193486,frac(samples>0)
ns,zinb_oracle,32,170430,391,0.12081590586090961,0.0021983915683858476,0.03127512039069921,10.677869257624344,0.006793570230686775,0.013513514587471078,0.8748189380160969,frac(samples>0)
ns,zinb_oracle,33,170430,391,0.12027493024294159,0.0021864731854720413,0.03166329296011674,10.910845592274995,0.006646912723629123,0.0,0.7133026946036977,frac(samples>0)
ns,zinb_oracle,34,170430,388,0.1152668448086949,0.0021712543272897965,0.03169721452530117,10.90206186939991,0.0068933338011780265,0.0041161749209694416,0.7996251908216243,frac(samples>0)
ns,zinb_oracle,35,170430,381,0.11131014255580689,0.0021402665317139,0.030833040056203177,11.129962262538632,0.005965100616595741,0.0,0.7588489865679072,frac(samples>0)
ns,zinb_oracle,36,170430,379,0.12925024819951494,0.0021077201783723525,0.0319164210092096,11.396602895415553,0.00658745397108572,0.0,0.8676476068056719,frac(samples>0)
os,zinb_oracle,1,170430,706,0.13268555140566066,0.003895660975180426,0.03498237926924109,6.132148558374167,0.00962003026469207,0.008761621900826445,1.3941239169730417,frac(samples>0)
os,zinb_oracle,2,170430,718,0.1386147771676524,0.003921698057853664,0.0347733491287313,5.995255924854687,0.00955635510726413,0.05178571215697697,1.1454277542802163,frac(samples>0)
os,zinb_oracle,3,170430,718,0.1311955298750406,0.003964787596080503,0.03600809364480983,6.246844535843991,0.009731928344188708,0.019270833333333334,1.1357842766512256,frac(samples>0)
os,zinb_oracle,4,170430,733,0.13097740034264413,0.00405170011148272,0.03617412587966024,6.11890347934192,0.009899998369522541,0.009259259259259259,1.0701002268834552,frac(samples>0)
os,zinb_oracle,5,170430,746,0.13231485906193874,0.0040872719004870035,0.03792952029488599,6.338492803545244,0.01022967700203123,0.05477078891257996,1.56862654958323,frac(samples>0)
os,zinb_oracle,6,170430,748,0.15201800429361534,0.004045557560288682,0.03742803154343948,6.1381392095158285,0.010534595815882364,0.04769736842105263,1.3218145024159635,frac(samples>0)
os,zinb_oracle,7,170430,756,0.13245578797225505,0.00414787229361028,0.03761294969189078,6.089285712580754,0.010649097783266125,0.041666666666666664,1.3604710499372823,frac(samples>0)
os,zinb_oracle,8,170430,766,0.14163086732972865,0.004142554861233351,0.03658842719050456,5.961467855933363,0.009838747574221617,0.04583333333333334,1.3411192903653422,frac(samples>0)
os,zinb_oracle,9,170430,759,0.15305420223315092,0.00409469796984099,0.0379878287020493,6.012681158850944,0.011260855692029847,0.057432432432432436,1.356350957904944,frac(samples>0)
os,zinb_oracle,10,170430,761,0.14159831890634358,0.004128711201079622,0.0364659429503174,5.867608415175831,0.010312082071997759,0.0625,1.1385117615164968,frac(samples>0)
os,zinb_oracle,11,170430,770,0.12294147255338779,0.004288692571730329,0.038267819022666134,6.193648541680017,0.01033169290899078,0.041666666666666664,1.2158515777580896,frac(samples>0)
os,zinb_oracle,12,170430,747,0.14362290828028662,0.004093964530892448,0.039788146284523894,6.6374874612792745,0.010742918487389952,0.025,1.396877967703916,frac(samples>0)
os,zinb_oracle,13,170430,748,0.14427786235863282,0.004094147890629584,0.03639699966825804,5.942638711525715,0.010360833189377678,0.05,1.2733165910433326,frac(samples>0)
os,zinb_oracle,14,170430,750,0.14292293221481456,0.004081037669424397,0.035692623121241954,5.821312498519818,0.010119692271707939,0.0625,1.1892846501439347,frac(samples>0)
os,zinb_oracle,15,170430,760,0.1485466863452959,0.004128069441999648,0.03688061097801302,5.89163240613906,0.010655518950415941,0.0625,1.2048141237265717,frac(samples>0)
os,zinb_oracle,16,170430,776,0.15432216134469534,0.004166208267323828,0.038544142298137664,5.923344891163108,0.011626973347690186,0.0625,1.1733631780773839,frac(samples>0)
os,zinb_oracle,17,170430,794,0.1497513076731082,0.004250462066537581,0.04009059801971396,6.40973312350492,0.01027678393994755,0.058409093293276704,1.7218531984098078,frac(samples>0)
os,zinb_oracle,18,170430,790,0.15655662908026122,0.004249820307457608,0.04042632987546031,6.364042730242768,0.010977750788628352,0.0625,1.317004421875527,frac(samples>0)
os,zinb_oracle,19,170430,792,0.14926585923048763,0.004287134013964677,0.04073464930676549,6.381332858729016,0.01113188470294782,0.06041666666666667,1.1300766233817434,frac(samples>0)
os,zinb_oracle,20,170430,780,0.16466590212652,0.004172350818517866,0.04110246887694486,6.606750801138771,0.010915579992982444,0.0625,1.168540429198627,frac(samples>0)
os,zinb_oracle,21,170430,779,0.16074564438017702,0.004160524115472628,0.04223095636445648,6.883544605105771,0.01081715195204816,0.07440476758139473,1.3528765212322331,frac(samples>0)
os,zinb_oracle,22,170430,802,0.15867969188394404,0.004260180132605762,0.04275793231390266,6.706476004836045,0.011251919779634977,0.08253205128205128,1.2707661052053196,frac(samples>0)
os,zinb_oracle,23,170430,826,0.15451151953268927,0.004412368714428211,0.05649056811186655,9.326536023714208,0.01134388792550577,0.0625,1.2082908451569874,frac(samples>0)
os,zinb_oracle,24,170430,831,0.18579079819825806,0.004307853664260987,0.055656923157123235,9.272807624841066,0.010494792289020496,0.08333333333333333,1.3627212064482124,frac(samples>0)
