target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,gate_source
sb,nb_20260722_102130_sample,1,170430,1320,0.4404197277194193,0.010025207683012788,0.14258722455592102,16.43991477973759,0.015377287988953922,0.06762124004970027,1.331167810668655,gate-head
sb,nb_20260722_102130_sample,2,170430,1318,0.35978051490441354,0.009270388694738075,0.13200260020461552,15.503710640795044,0.01220086409187258,0.009709653092006033,1.1371795499596404,gate-head
sb,nb_20260722_102130_sample,3,170430,1315,0.3304108614141319,0.008517423802366291,0.12579578126786756,15.136252370295416,0.009077864970843471,0.0,0.7667288525783551,gate-head
sb,nb_20260722_102130_sample,4,170430,1312,0.34273389943489174,0.007790947504958947,0.11376930779326042,13.639481699065783,0.008838226197276845,0.0,0.8161750307759292,gate-head
sb,nb_20260722_102130_sample,5,170430,1295,0.3216430157882656,0.007473624843111417,0.11334868065174816,14.007022210265218,0.006970301127406994,0.0,0.6810570021658554,gate-head
sb,nb_20260722_102130_sample,6,170430,1312,0.3027471339997982,0.007325222826576499,0.11704218761286901,14.230790314508784,0.00754918543399131,0.0,0.663961329512797,gate-head
sb,nb_20260722_102130_sample,7,170430,1314,0.306547432275362,0.007064822525361377,0.11201794731515902,13.82626997681173,0.0054607489024807694,0.0,0.5064200585319462,gate-head
sb,nb_20260722_102130_sample,8,170430,1308,0.2970035677461832,0.006896680352632517,0.11195688847040812,13.992056089387892,0.004607343439010255,0.0,0.4568675930035466,gate-head
sb,nb_20260722_102130_sample,9,170430,1334,0.28648855630431036,0.006877879250243988,0.11153451936313022,13.70448369840565,0.00429961017046617,0.0,0.454260371560849,gate-head
sb,nb_20260722_102130_sample,10,170430,1336,0.2858654518112524,0.006823946102274159,0.10851825170242115,13.354802116221876,0.00386027895946165,0.0,0.29690702177341205,gate-head
sb,nb_20260722_102130_sample,11,170430,1345,0.26920271453948663,0.006878727671241863,0.11186291668709439,13.664416823311809,0.004058055200799077,0.0,0.4016053051830241,gate-head
sb,nb_20260722_102130_sample,12,170430,1355,0.2796896966968456,0.006810504290619367,0.11053933435236248,13.561958024653562,0.0027370435029871977,0.0,0.21386833771123498,gate-head
sb,nb_20260722_102130_sample,13,170430,1383,0.26890413374845784,0.006960171020871555,0.12073789468152152,14.489154016242153,0.0031876305767556696,0.0,0.22077029645600152,gate-head
sb,nb_20260722_102130_sample,14,170430,1409,0.2711376737890221,0.007034524415316839,0.128118215680939,15.201162169669603,0.002465669954845623,0.0,0.2559061773380069,gate-head
sb,nb_20260722_102130_sample,15,170430,1423,0.2507389124229209,0.00726610567708885,0.1333790816378913,15.707033997751086,0.0022524954868497747,0.0,0.24804230632139462,gate-head
sb,nb_20260722_102130_sample,16,170430,1467,0.24825529280365083,0.007472755193414734,0.13479370200101712,15.468643492421652,0.0016594794638517575,0.0,0.19843838846357084,gate-head
sb,nb_20260722_102130_sample,17,170430,1512,0.2573076462110639,0.007653175659994983,0.1390804693279888,15.464750743682973,0.0018990354084258186,0.0,0.17775138173851926,gate-head
sb,nb_20260722_102130_sample,18,170430,1527,0.2565647680121512,0.007734412625222168,0.13290848881640127,14.70186640167049,0.0011950276408851988,0.0,0.08108516182411138,gate-head
sb,nb_20260722_102130_sample,19,170430,1522,0.24062996430307915,0.007855488761656837,0.12758262193794717,14.110668528506853,0.001583517397026229,0.0,0.08688659473453325,gate-head
sb,nb_20260722_102130_sample,20,170430,1518,0.24407381208182022,0.007819117205333648,0.1319539180828856,14.650249095061826,0.001479043126375505,0.0,0.13271157763197422,gate-head
sb,nb_20260722_102130_sample,21,170430,1546,0.24134804889450578,0.00798422840409724,0.12476841665173559,13.632630579872359,0.00111457789650074,0.0,0.06693671025767566,gate-head
sb,nb_20260722_102130_sample,22,170430,1537,0.24239730027849082,0.008000750601672787,0.12482388300911569,13.686890045126383,0.001403162842061758,0.0,0.15955573050866742,gate-head
sb,nb_20260722_102130_sample,23,170430,1563,0.23670008362827005,0.008175351661453242,0.13319315483776895,14.331244003125398,0.0017787667342699573,0.0,0.1308113935828345,gate-head
sb,nb_20260722_102130_sample,24,170430,1579,0.23762776654135553,0.008292664796455329,0.1328616404602633,14.218225538692874,0.0011432047073847774,0.0,0.185099926137804,gate-head
sb,nb_20260722_102130_sample,25,170430,1616,0.24121150786322826,0.008514329697604385,0.13755464122059555,14.418036433803563,0.000852361926140862,0.0,0.10822738763288606,gate-head
sb,nb_20260722_102130_sample,26,170430,1611,0.2377845485021955,0.008501845486590285,0.14372634660728673,15.133137414283926,0.0006859232543047496,0.0,0.051672174790402925,gate-head
sb,nb_20260722_102130_sample,27,170430,1619,0.23148877903277207,0.008650379156393261,0.14479780924999225,15.162417001308961,0.0007697217915714464,0.0,0.062260427659933955,gate-head
sb,nb_20260722_102130_sample,28,170430,1635,0.23164692205517443,0.008743507796706192,0.15516955277598962,16.105514144583033,0.0006696362642178431,0.0,0.06849935199494148,gate-head
