origin,sample_idx,step,target_idx,n_cells,n_active,active_fraction,mean_magnitude_on_active,persistence,neighbour_pairs_per_active
335,0,1,0,32400,90,0.002777777777777778,22.5,-1.0,0.36666666666666664
335,0,1,1,32400,47,0.0014506172839506173,15.617020606994629,-1.0,0.425531914893617
335,0,1,2,32400,35,0.0010802469135802468,5.77142858505249,-1.0,0.17142857142857143
335,0,2,0,32400,77,0.0023765432098765433,28.29869842529297,0.2777777777777778,0.2597402597402597
335,0,2,1,32400,40,0.0012345679012345679,46.374996185302734,0.3191489361702128,0.425
335,0,2,2,32400,38,0.0011728395061728395,3.263157844543457,0.2,0.15789473684210525
335,0,3,0,32400,72,0.0022222222222222222,44.45832824707031,0.2857142857142857,0.375
335,0,3,1,32400,41,0.0012654320987654322,43.17073440551758,0.375,0.2682926829268293
335,0,3,2,32400,39,0.0012037037037037038,5.461538314819336,0.18421052631578946,0.1794871794871795
335,0,4,0,32400,94,0.0029012345679012346,17.96808624267578,0.3194444444444444,0.40425531914893614
335,0,4,1,32400,34,0.0010493827160493827,13.558823585510254,0.3170731707317073,0.4117647058823529
335,0,4,2,32400,35,0.0010802469135802468,5.0,0.23076923076923078,0.2
335,0,5,0,32400,69,0.0021296296296296298,14.289855003356934,0.2872340425531915,0.37681159420289856
335,0,5,1,32400,35,0.0010802469135802468,12.657142639160156,0.3235294117647059,0.2
335,0,5,2,32400,39,0.0012037037037037038,7.128205299377441,0.22857142857142856,0.1794871794871795
335,0,6,0,32400,100,0.0030864197530864196,20.40999984741211,0.42028985507246375,0.48
335,0,6,1,32400,37,0.0011419753086419754,21.35135269165039,0.37142857142857144,0.24324324324324326
335,0,6,2,32400,49,0.0015123456790123457,5.285714149475098,0.1794871794871795,0.24489795918367346
335,0,7,0,32400,88,0.0027160493827160493,23.60227394104004,0.36,0.3977272727272727
335,0,7,1,32400,34,0.0010493827160493827,15.647058486938477,0.2972972972972973,0.2647058823529412
335,0,7,2,32400,35,0.0010802469135802468,5.400000095367432,0.10204081632653061,0.05714285714285714
335,0,8,0,32400,73,0.0022530864197530865,14.041095733642578,0.26136363636363635,0.3424657534246575
335,0,8,1,32400,25,0.0007716049382716049,12.519999504089355,0.14705882352941177,0.24
335,0,8,2,32400,37,0.0011419753086419754,5.324324607849121,0.22857142857142856,0.24324324324324326
335,0,9,0,32400,73,0.0022530864197530865,17.876712799072266,0.3287671232876712,0.3561643835616438
335,0,9,1,32400,26,0.0008024691358024691,16.0,0.24,0.3076923076923077
335,0,9,2,32400,30,0.000925925925925926,5.600000381469727,0.16216216216216217,0.13333333333333333
335,0,10,0,32400,72,0.0022222222222222222,10.43055534362793,0.3150684931506849,0.3472222222222222
335,0,10,1,32400,31,0.0009567901234567902,28.064516067504883,0.2692307692307692,0.1935483870967742
335,0,10,2,32400,41,0.0012654320987654322,7.536584854125977,0.26666666666666666,0.1951219512195122
335,0,11,0,32400,71,0.002191358024691358,19.8873233795166,0.2916666666666667,0.36619718309859156
335,0,11,1,32400,25,0.0007716049382716049,42.84000015258789,0.2903225806451613,0.28
335,0,11,2,32400,51,0.001574074074074074,4.568627834320068,0.17073170731707318,0.17647058823529413
335,0,12,0,32400,66,0.002037037037037037,8.636363983154297,0.2535211267605634,0.24242424242424243
335,0,12,1,32400,28,0.0008641975308641976,57.53572463989258,0.4,0.39285714285714285
335,0,12,2,32400,42,0.0012962962962962963,18.880950927734375,0.17647058823529413,0.19047619047619047
335,0,13,0,32400,78,0.0024074074074074076,11.025641441345215,0.25757575757575757,0.34615384615384615
335,0,13,1,32400,33,0.0010185185185185184,21.78788185119629,0.32142857142857145,0.30303030303030304
335,0,13,2,32400,52,0.0016049382716049382,11.634615898132324,0.21428571428571427,0.25
335,0,14,0,32400,85,0.002623456790123457,10.858823776245117,0.34615384615384615,0.35294117647058826
335,0,14,1,32400,38,0.0011728395061728395,10.710526466369629,0.36363636363636365,0.3157894736842105
335,0,14,2,32400,44,0.0013580246913580246,5.977272987365723,0.15384615384615385,0.3409090909090909
335,0,15,0,32400,80,0.0024691358024691358,16.274999618530273,0.32941176470588235,0.35
335,0,15,1,32400,38,0.0011728395061728395,21.421051025390625,0.23684210526315788,0.23684210526315788
335,0,15,2,32400,38,0.0011728395061728395,7.0263166427612305,0.1590909090909091,0.15789473684210525
335,0,16,0,32400,83,0.0025617283950617282,11.349396705627441,0.3375,0.3253012048192771
335,0,16,1,32400,37,0.0011419753086419754,7.513513565063477,0.3684210526315789,0.43243243243243246
335,0,16,2,32400,49,0.0015123456790123457,4.897959232330322,0.2894736842105263,0.16326530612244897
335,0,17,0,32400,87,0.002685185185185185,21.33333396911621,0.3493975903614458,0.3563218390804598
335,0,17,1,32400,32,0.0009876543209876543,8.21875,0.16216216216216217,0.125
335,0,17,2,32400,47,0.0014506172839506173,6.510638236999512,0.24489795918367346,0.23404255319148937
335,0,18,0,32400,91,0.002808641975308642,18.65934181213379,0.3563218390804598,0.4945054945054945
335,0,18,1,32400,33,0.0010185185185185184,15.848484992980957,0.25,0.18181818181818182
335,0,18,2,32400,45,0.001388888888888889,6.688889026641846,0.2127659574468085,0.24444444444444444
335,0,19,0,32400,92,0.002839506172839506,16.0,0.38461538461538464,0.4891304347826087
335,0,19,1,32400,31,0.0009567901234567902,7.193548202514648,0.3333333333333333,0.3548387096774194
335,0,19,2,32400,49,0.0015123456790123457,4.081632614135742,0.3333333333333333,0.24489795918367346
335,0,20,0,32400,70,0.0021604938271604936,25.928573608398438,0.2717391304347826,0.3
335,0,20,1,32400,26,0.0008024691358024691,8.384615898132324,0.16129032258064516,0.34615384615384615
335,0,20,2,32400,41,0.0012654320987654322,3.682926654815674,0.14285714285714285,0.2926829268292683
335,0,21,0,32400,81,0.0025,8.604938507080078,0.3142857142857143,0.38271604938271603
335,0,21,1,32400,18,0.0005555555555555556,9.38888931274414,0.15384615384615385,0.05555555555555555
335,0,21,2,32400,34,0.0010493827160493827,5.764706134796143,0.1951219512195122,0.2647058823529412
335,0,22,0,32400,77,0.0023765432098765433,8.922078132629395,0.2962962962962963,0.23376623376623376
335,0,22,1,32400,34,0.0010493827160493827,26.79411506652832,0.2222222222222222,0.2647058823529412
335,0,22,2,32400,35,0.0010802469135802468,4.942857265472412,0.14705882352941177,0.22857142857142856
335,0,23,0,32400,69,0.0021296296296296298,13.231884956359863,0.2597402597402597,0.2318840579710145
335,0,23,1,32400,27,0.0008333333333333334,12.222222328186035,0.23529411764705882,0.3333333333333333
335,0,23,2,32400,55,0.0016975308641975309,11.96363639831543,0.17142857142857143,0.3090909090909091
335,0,24,0,32400,92,0.002839506172839506,18.206523895263672,0.34782608695652173,0.391304347826087
335,0,24,1,32400,34,0.0010493827160493827,7.088235378265381,0.3333333333333333,0.3235294117647059
335,0,24,2,32400,35,0.0010802469135802468,12.114285469055176,0.16363636363636364,0.2571428571428571
335,0,25,0,32400,85,0.002623456790123457,23.43529510498047,0.2391304347826087,0.2235294117647059
335,0,25,1,32400,30,0.000925925925925926,9.933333396911621,0.23529411764705882,0.23333333333333334
335,0,25,2,32400,49,0.0015123456790123457,8.306121826171875,0.3142857142857143,0.1836734693877551
335,0,26,0,32400,92,0.002839506172839506,16.85869598388672,0.3411764705882353,0.3695652173913043
335,0,26,1,32400,34,0.0010493827160493827,7.235294342041016,0.26666666666666666,0.2647058823529412
335,0,26,2,32400,58,0.0017901234567901235,6.293103218078613,0.30612244897959184,0.3620689655172414
335,0,27,0,32400,93,0.0028703703703703703,11.344085693359375,0.34782608695652173,0.2903225806451613
335,0,27,1,32400,28,0.0008641975308641976,14.750000953674316,0.20588235294117646,0.21428571428571427
335,0,27,2,32400,49,0.0015123456790123457,7.36734676361084,0.22413793103448276,0.2857142857142857
335,0,28,0,32400,99,0.0030555555555555557,11.777777671813965,0.27956989247311825,0.24242424242424243
335,0,28,1,32400,35,0.0010802469135802468,9.485713958740234,0.25,0.22857142857142856
335,0,28,2,32400,55,0.0016975308641975309,7.799999713897705,0.16326530612244897,0.18181818181818182
335,0,29,0,32400,109,0.0033641975308641974,13.275228500366211,0.3434343434343434,0.3394495412844037
335,0,29,1,32400,38,0.0011728395061728395,14.552631378173828,0.2,0.23684210526315788
335,0,29,2,32400,59,0.0018209876543209876,7.98305082321167,0.2727272727272727,0.1864406779661017
335,0,30,0,32400,106,0.003271604938271605,10.886792182922363,0.3211009174311927,0.3490566037735849
335,0,30,1,32400,47,0.0014506172839506173,10.021276473999023,0.2631578947368421,0.2765957446808511
335,0,30,2,32400,42,0.0012962962962962963,8.809523582458496,0.3220338983050847,0.23809523809523808
335,0,31,0,32400,87,0.002685185185185185,7.712643623352051,0.33962264150943394,0.2988505747126437
335,0,31,1,32400,31,0.0009567901234567902,9.483870506286621,0.2553191489361702,0.22580645161290322
335,0,31,2,32400,46,0.001419753086419753,8.413043975830078,0.38095238095238093,0.21739130434782608
335,0,32,0,32400,88,0.0027160493827160493,22.22727394104004,0.3563218390804598,0.36363636363636365
335,0,32,1,32400,17,0.0005246913580246914,7.764706134796143,0.03225806451612903,0.11764705882352941
335,0,32,2,32400,40,0.0012345679012345679,7.099999904632568,0.21739130434782608,0.25
335,0,33,0,32400,105,0.0032407407407407406,8.323809623718262,0.32954545454545453,0.3904761904761905
335,0,33,1,32400,23,0.0007098765432098765,11.47826099395752,0.4117647058823529,0.2608695652173913
335,0,33,2,32400,45,0.001388888888888889,6.088889122009277,0.2,0.5333333333333333
335,0,34,0,32400,81,0.0025,10.88888931274414,0.3142857142857143,0.38271604938271603
335,0,34,1,32400,27,0.0008333333333333334,10.148148536682129,0.21739130434782608,0.037037037037037035
335,0,34,2,32400,54,0.0016666666666666668,6.185185432434082,0.35555555555555557,0.4074074074074074
335,0,35,0,32400,102,0.003148148148148148,19.42156982421875,0.3333333333333333,0.4117647058823529
335,0,35,1,32400,25,0.0007716049382716049,5.519999980926514,0.2962962962962963,0.24
335,0,35,2,32400,46,0.001419753086419753,19.39130401611328,0.16666666666666666,0.30434782608695654
335,1,1,0,32400,80,0.0024691358024691358,25.225000381469727,-1.0,0.25
335,1,1,1,32400,43,0.0013271604938271606,19.465116500854492,-1.0,0.27906976744186046
335,1,1,2,32400,31,0.0009567901234567902,6.290322303771973,-1.0,0.1935483870967742
335,1,2,0,32400,73,0.0022530864197530865,28.821914672851562,0.2625,0.2191780821917808
335,1,2,1,32400,37,0.0011419753086419754,49.81081008911133,0.27906976744186046,0.2972972972972973
335,1,2,2,32400,45,0.001388888888888889,3.7555556297302246,0.3548387096774194,0.2
335,1,3,0,32400,79,0.0024382716049382715,39.9113883972168,0.273972602739726,0.31645569620253167
335,1,3,1,32400,39,0.0012037037037037038,14.692309379577637,0.1891891891891892,0.23076923076923078
335,1,3,2,32400,36,0.0011111111111111111,5.361111164093018,0.24444444444444444,0.1388888888888889
335,1,4,0,32400,90,0.002777777777777778,17.977779388427734,0.22784810126582278,0.35555555555555557
335,1,4,1,32400,33,0.0010185185185185184,12.060606002807617,0.3333333333333333,0.2727272727272727
335,1,4,2,32400,43,0.0013271604938271606,5.232558250427246,0.2222222222222222,0.18604651162790697
335,1,5,0,32400,75,0.0023148148148148147,14.706666946411133,0.28888888888888886,0.3333333333333333
335,1,5,1,32400,39,0.0012037037037037038,11.333333015441895,0.42424242424242425,0.28205128205128205
335,1,5,2,32400,45,0.001388888888888889,6.244444370269775,0.27906976744186046,0.17777777777777778
335,1,6,0,32400,83,0.0025617283950617282,17.132530212402344,0.30666666666666664,0.5060240963855421
335,1,6,1,32400,38,0.0011728395061728395,21.710527420043945,0.3076923076923077,0.3157894736842105
335,1,6,2,32400,47,0.0014506172839506173,6.06382942199707,0.17777777777777778,0.2765957446808511
335,1,7,0,32400,82,0.0025308641975308644,19.134145736694336,0.3253012048192771,0.4024390243902439
335,1,7,1,32400,33,0.0010185185185185184,15.969696998596191,0.13157894736842105,0.24242424242424243
335,1,7,2,32400,36,0.0011111111111111111,5.69444465637207,0.1702127659574468,0.05555555555555555
335,1,8,0,32400,71,0.002191358024691358,14.549295425415039,0.23170731707317074,0.29577464788732394
335,1,8,1,32400,25,0.0007716049382716049,15.600001335144043,0.21212121212121213,0.32
335,1,8,2,32400,32,0.0009876543209876543,4.21875,0.1388888888888889,0.125
335,1,9,0,32400,69,0.0021296296296296298,13.246376991271973,0.2112676056338028,0.30434782608695654
335,1,9,1,32400,30,0.000925925925925926,13.000000953674316,0.4,0.3333333333333333
