origin,sample_idx,step,target_idx,n_cells,n_active,active_fraction,mean_magnitude_on_active,persistence,neighbour_pairs_per_active
335,0,1,0,32400,31,0.0009567901234567902,31.677417755126953,-1.0,0.16129032258064516
335,0,1,1,32400,2,6.17283950617284e-05,1.5,-1.0,0.0
335,0,1,2,32400,3,9.259259259259259e-05,6.6666669845581055,-1.0,0.0
335,0,2,0,32400,31,0.0009567901234567902,46.903221130371094,0.22580645161290322,0.2903225806451613
335,0,2,1,32400,1,3.08641975308642e-05,13.000000953674316,0.0,0.0
335,0,2,2,32400,1,3.08641975308642e-05,1.0,0.0,0.0
335,0,3,0,32400,21,0.0006481481481481481,5.761904716491699,0.22580645161290322,0.14285714285714285
335,0,3,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,3,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,4,0,32400,20,0.0006172839506172839,19.450000762939453,0.38095238095238093,0.35
335,0,4,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,4,2,32400,2,6.17283950617284e-05,27.499998092651367,-1.0,0.0
335,0,5,0,32400,16,0.0004938271604938272,14.8125,0.25,0.25
335,0,5,1,32400,1,3.08641975308642e-05,2.0,-1.0,0.0
335,0,5,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,6,0,32400,13,0.00040123456790123454,17.4615421295166,0.1875,0.3076923076923077
335,0,6,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,6,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,7,0,32400,11,0.00033950617283950616,8.636363983154297,0.15384615384615385,0.2727272727272727
335,0,7,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,7,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,8,0,32400,9,0.0002777777777777778,12.333333015441895,0.2727272727272727,0.1111111111111111
335,0,8,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,8,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,9,0,32400,14,0.0004320987654320988,20.928569793701172,0.3333333333333333,0.42857142857142855
335,0,9,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,9,2,32400,1,3.08641975308642e-05,7.0,-1.0,0.0
335,0,10,0,32400,10,0.00030864197530864197,19.100000381469727,0.2857142857142857,0.3
335,0,10,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,10,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,11,0,32400,8,0.0002469135802469136,7.125,0.3,0.0
335,0,11,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,11,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,12,0,32400,8,0.0002469135802469136,10.0,0.125,0.25
335,0,12,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,12,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,13,0,32400,5,0.00015432098765432098,19.999998092651367,0.125,0.4
335,0,13,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,13,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,14,0,32400,1,3.08641975308642e-05,3.0,0.0,0.0
335,0,14,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,14,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,15,0,32400,6,0.00018518518518518518,14.166666984558105,1.0,0.0
335,0,15,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,15,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,16,0,32400,3,9.259259259259259e-05,23.333328247070312,0.3333333333333333,0.0
335,0,16,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,16,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,17,0,32400,3,9.259259259259259e-05,7.333333969116211,0.3333333333333333,0.0
