origin,sample_idx,step,target_idx,n_cells,n_active,active_fraction,mean_magnitude_on_active,persistence,neighbour_pairs_per_active
335,0,1,0,32400,35,0.0010802469135802468,14.571430206298828,-1.0,0.2
335,0,1,1,32400,4,0.0001234567901234568,17.499998092651367,-1.0,0.0
335,0,1,2,32400,4,0.0001234567901234568,6.0,-1.0,0.0
335,0,2,0,32400,28,0.0008641975308641976,6.714285850524902,0.22857142857142856,0.14285714285714285
335,0,2,1,32400,1,3.08641975308642e-05,1.0,0.0,0.0
335,0,2,2,32400,1,3.08641975308642e-05,1.0,0.0,0.0
335,0,3,0,32400,30,0.000925925925925926,7.300000190734863,0.5357142857142857,0.26666666666666666
335,0,3,1,32400,1,3.08641975308642e-05,1.0,0.0,0.0
335,0,3,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,4,0,32400,30,0.000925925925925926,10.866666793823242,0.5333333333333333,0.16666666666666666
335,0,4,1,32400,1,3.08641975308642e-05,41.000003814697266,0.0,0.0
335,0,4,2,32400,1,3.08641975308642e-05,1.0,-1.0,0.0
335,0,5,0,32400,15,0.000462962962962963,10.533333778381348,0.2,0.26666666666666666
335,0,5,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,5,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,6,0,32400,25,0.0007716049382716049,10.15999984741211,0.4666666666666667,0.2
335,0,6,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,6,2,32400,1,3.08641975308642e-05,13.000000953674316,-1.0,0.0
335,0,7,0,32400,25,0.0007716049382716049,6.960000038146973,0.36,0.36
335,0,7,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,7,2,32400,1,3.08641975308642e-05,10.000000953674316,0.0,0.0
335,0,8,0,32400,21,0.0006481481481481481,12.904762268066406,0.44,0.19047619047619047
335,0,8,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,8,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,9,0,32400,23,0.0007098765432098765,11.043478012084961,0.5714285714285714,0.30434782608695654
