origin,sample_idx,step,target_idx,n_cells,n_active,active_fraction,mean_magnitude_on_active,persistence,neighbour_pairs_per_active
335,0,1,0,32400,25,0.0007716049382716049,14.919998168945312,-1.0,0.36
335,0,1,1,32400,10,0.00030864197530864197,115.30001068115234,-1.0,0.3
335,0,1,2,32400,11,0.00033950617283950616,16.636363983154297,-1.0,0.18181818181818182
335,0,2,0,32400,11,0.00033950617283950616,15.909090995788574,0.2,0.5454545454545454
335,0,2,1,32400,14,0.0004320987654320988,11.071430206298828,0.1,0.14285714285714285
335,0,2,2,32400,9,0.0002777777777777778,11.44444465637207,0.2727272727272727,0.6666666666666666
335,0,3,0,32400,5,0.00015432098765432098,26.600000381469727,0.18181818181818182,0.4
335,0,3,1,32400,5,0.00015432098765432098,16.200000762939453,0.21428571428571427,0.4
335,0,3,2,32400,1,3.08641975308642e-05,1.0,0.1111111111111111,0.0
335,0,4,0,32400,11,0.00033950617283950616,11.0,0.6,0.45454545454545453
335,0,4,1,32400,1,3.08641975308642e-05,1.0,0.2,0.0
335,0,4,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,5,0,32400,2,6.17283950617284e-05,3.5,0.09090909090909091,0.0
335,0,5,1,32400,3,9.259259259259259e-05,3.0,1.0,0.3333333333333333
335,0,5,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,6,0,32400,10,0.00030864197530864197,11.699999809265137,1.0,0.7
335,0,6,1,32400,4,0.0001234567901234568,16.999998092651367,0.0,0.0
335,0,6,2,32400,1,3.08641975308642e-05,34.000003814697266,-1.0,0.0
335,0,7,0,32400,7,0.0002160493827160494,15.714284896850586,0.4,0.42857142857142855
335,0,7,1,32400,1,3.08641975308642e-05,15.0,0.25,0.0
335,0,7,2,32400,2,6.17283950617284e-05,1.5,0.0,0.0
335,0,8,0,32400,0,0.0,-1.0,0.0,-1.0
335,0,8,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,8,2,32400,1,3.08641975308642e-05,2.0,0.0,0.0
335,0,9,0,32400,1,3.08641975308642e-05,17.0,-1.0,0.0
335,0,9,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,9,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,10,0,32400,2,6.17283950617284e-05,2.5,0.0,0.0
335,0,10,1,32400,1,3.08641975308642e-05,5.999999523162842,-1.0,0.0
335,0,10,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,11,0,32400,1,3.08641975308642e-05,11.0,0.5,0.0
335,0,11,1,32400,2,6.17283950617284e-05,33.500003814697266,1.0,0.5
335,0,11,2,32400,1,3.08641975308642e-05,1.0,-1.0,0.0
335,0,12,0,32400,1,3.08641975308642e-05,5.0,0.0,0.0
335,0,12,1,32400,1,3.08641975308642e-05,11.0,0.0,0.0
335,0,12,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,13,0,32400,1,3.08641975308642e-05,20.000001907348633,0.0,0.0
335,0,13,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,13,2,32400,2,6.17283950617284e-05,12.0,-1.0,0.0
335,0,14,0,32400,1,3.08641975308642e-05,4.0,0.0,0.0
335,0,14,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,14,2,32400,1,3.08641975308642e-05,58.00000762939453,0.5,0.0
335,0,15,0,32400,0,0.0,-1.0,0.0,-1.0
335,0,15,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,15,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,16,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,16,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,16,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,17,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,17,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,17,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,18,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,18,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,18,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,19,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,19,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,19,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,20,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,20,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,20,2,32400,2,6.17283950617284e-05,1.5,-1.0,0.0
335,0,21,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,21,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,21,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,22,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,22,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,22,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,24,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,24,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,24,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,25,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,25,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,25,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,27,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,27,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,27,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,28,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,28,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,28,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,29,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,29,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,29,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,30,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,30,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,30,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,31,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,31,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,31,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,32,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,32,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,32,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,33,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,33,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,33,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,34,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,34,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,34,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,35,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,35,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,35,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,1,0,32400,44,0.0013580246913580246,12.11363697052002,-1.0,0.6818181818181818
335,1,1,1,32400,7,0.0002160493827160494,8.428571701049805,-1.0,0.14285714285714285
335,1,1,2,32400,5,0.00015432098765432098,22.800003051757812,-1.0,0.0
335,1,2,0,32400,14,0.0004320987654320988,42.28572463989258,0.18181818181818182,0.2857142857142857
335,1,2,1,32400,4,0.0001234567901234568,3.0,0.2857142857142857,0.25
335,1,2,2,32400,1,3.08641975308642e-05,4.0,0.0,0.0
335,1,3,0,32400,3,9.259259259259259e-05,3.0,0.14285714285714285,0.0
335,1,3,1,32400,4,0.0001234567901234568,3.25,0.0,0.25
335,1,3,2,32400,1,3.08641975308642e-05,11.0,0.0,0.0
335,1,4,0,32400,3,9.259259259259259e-05,57.0,0.0,0.0
335,1,4,1,32400,2,6.17283950617284e-05,34.5,0.25,0.0
335,1,4,2,32400,1,3.08641975308642e-05,18.0,0.0,0.0
335,1,5,0,32400,4,0.0001234567901234568,9.0,0.0,0.25
335,1,5,1,32400,3,9.259259259259259e-05,36.0,0.5,0.0
335,1,5,2,32400,3,9.259259259259259e-05,48.66667175292969,0.0,0.3333333333333333
335,1,6,0,32400,3,9.259259259259259e-05,22.666664123535156,0.25,0.0
335,1,6,1,32400,0,0.0,-1.0,0.0,-1.0
335,1,6,2,32400,0,0.0,-1.0,0.0,-1.0
335,1,7,0,32400,0,0.0,-1.0,0.0,-1.0
335,1,7,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,7,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,8,0,32400,1,3.08641975308642e-05,1.0,-1.0,0.0
335,1,8,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,8,2,32400,1,3.08641975308642e-05,3.0,-1.0,0.0
335,1,9,0,32400,0,0.0,-1.0,0.0,-1.0
335,1,9,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,9,2,32400,1,3.08641975308642e-05,20.000001907348633,0.0,0.0
335,1,10,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,10,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,10,2,32400,0,0.0,-1.0,0.0,-1.0
335,1,11,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,11,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,11,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,12,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,12,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,12,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,13,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,13,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,13,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,14,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,14,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,14,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,15,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,15,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,15,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,16,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,16,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,16,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,17,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,17,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,17,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,18,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,18,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,18,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,19,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,19,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,19,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,20,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,20,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,20,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,21,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,21,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,21,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,22,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,22,1,32400,1,3.08641975308642e-05,4.0,-1.0,0.0
335,1,22,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,23,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,23,1,32400,1,3.08641975308642e-05,84.0,0.0,0.0
335,1,23,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,24,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,24,1,32400,0,0.0,-1.0,0.0,-1.0
335,1,24,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,25,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,25,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,25,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,26,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,26,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,26,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,27,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,27,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,27,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,28,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,28,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,28,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,29,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,29,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,29,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,30,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,30,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,30,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,31,0,32400,1,3.08641975308642e-05,27.000001907348633,-1.0,0.0
335,1,31,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,31,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,32,0,32400,0,0.0,-1.0,0.0,-1.0
335,1,32,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,32,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,33,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,33,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,33,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,34,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,34,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,34,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,35,0,32400,0,0.0,-1.0,-1.0,-1.0
335,1,35,1,32400,0,0.0,-1.0,-1.0,-1.0
335,1,35,2,32400,0,0.0,-1.0,-1.0,-1.0
335,2,1,0,32400,15,0.000462962962962963,40.333335876464844,-1.0,0.2
335,2,1,1,32400,5,0.00015432098765432098,61.80001449584961,-1.0,0.0
335,2,1,2,32400,2,6.17283950617284e-05,4.5,-1.0,0.0
335,2,2,0,32400,10,0.00030864197530864197,13.100000381469727,0.0,0.3
335,2,2,1,32400,14,0.0004320987654320988,8.642857551574707,0.2,0.2857142857142857
335,2,2,2,32400,4,0.0001234567901234568,6.25,0.0,0.0
335,2,3,0,32400,6,0.00018518518518518518,18.5,0.2,0.5
335,2,3,1,32400,6,0.00018518518518518518,7.5,0.21428571428571427,0.0
