origin,sample_idx,step,target_idx,n_cells,n_active,active_fraction,mean_magnitude_on_active,persistence,neighbour_pairs_per_active
335,0,1,0,32400,24,0.0007407407407407407,25.875,-1.0,0.25
335,0,1,1,32400,11,0.00033950617283950616,110.45457458496094,-1.0,0.09090909090909091
335,0,1,2,32400,4,0.0001234567901234568,30.75,-1.0,0.0
335,0,2,0,32400,13,0.00040123456790123454,24.307687759399414,0.20833333333333334,0.23076923076923078
335,0,2,1,32400,5,0.00015432098765432098,15.800000190734863,0.18181818181818182,0.0
335,0,2,2,32400,2,6.17283950617284e-05,19.499998092651367,0.5,0.0
335,0,3,0,32400,11,0.00033950617283950616,31.72727394104004,0.38461538461538464,0.2727272727272727
335,0,3,1,32400,7,0.0002160493827160494,4.0,0.4,0.14285714285714285
335,0,3,2,32400,3,9.259259259259259e-05,10.666666030883789,0.5,0.3333333333333333
335,0,4,0,32400,8,0.0002469135802469136,33.5,0.36363636363636365,0.125
335,0,4,1,32400,5,0.00015432098765432098,12.000000953674316,0.2857142857142857,0.0
335,0,4,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,5,0,32400,6,0.00018518518518518518,42.16667175292969,0.375,0.16666666666666666
335,0,5,1,32400,3,9.259259259259259e-05,6.6666669845581055,0.2,0.0
335,0,5,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,6,0,32400,6,0.00018518518518518518,13.166666984558105,0.5,0.16666666666666666
335,0,6,1,32400,1,3.08641975308642e-05,11.0,0.0,0.0
335,0,6,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,7,0,32400,4,0.0001234567901234568,30.5,0.5,0.25
335,0,7,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,7,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,8,0,32400,1,3.08641975308642e-05,2.0,0.25,0.0
335,0,8,1,32400,1,3.08641975308642e-05,3.0,-1.0,0.0
335,0,8,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,9,0,32400,3,9.259259259259259e-05,9.666666984558105,0.0,0.0
335,0,9,1,32400,1,3.08641975308642e-05,21.000001907348633,0.0,0.0
335,0,9,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,10,0,32400,0,0.0,-1.0,0.0,-1.0
335,0,10,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,10,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,11,0,32400,2,6.17283950617284e-05,29.499996185302734,-1.0,0.0
335,0,11,1,32400,1,3.08641975308642e-05,3.0,-1.0,0.0
335,0,11,2,32400,1,3.08641975308642e-05,4.0,-1.0,0.0
335,0,12,0,32400,1,3.08641975308642e-05,5.999999523162842,0.0,0.0
335,0,12,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,12,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,13,0,32400,0,0.0,-1.0,0.0,-1.0
335,0,13,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,13,2,32400,1,3.08641975308642e-05,5.0,-1.0,0.0
335,0,14,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,14,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,14,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,15,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,15,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,15,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,16,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,16,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,16,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,17,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,17,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,17,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,18,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,18,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,18,2,32400,0,0.0,-1.0,-1.0,-1.0
