origin,sample_idx,step,target_idx,n_cells,n_active,active_fraction,mean_magnitude_on_active,persistence,neighbour_pairs_per_active
335,0,1,0,32400,42,0.0012962962962962963,41.761905670166016,-1.0,0.5
335,0,1,1,32400,9,0.0002777777777777778,54.77778244018555,-1.0,0.2222222222222222
335,0,1,2,32400,12,0.00037037037037037035,6.5,-1.0,0.16666666666666666
335,0,2,0,32400,28,0.0008641975308641976,29.821430206298828,0.4523809523809524,0.4642857142857143
335,0,2,1,32400,5,0.00015432098765432098,7.800000190734863,0.3333333333333333,0.2
335,0,2,2,32400,4,0.0001234567901234568,15.0,0.0,0.0
335,0,3,0,32400,24,0.0007407407407407407,13.583333969116211,0.32142857142857145,0.4166666666666667
335,0,3,1,32400,4,0.0001234567901234568,6.75,0.2,0.0
335,0,3,2,32400,1,3.08641975308642e-05,19.0,0.0,0.0
335,0,4,0,32400,19,0.0005864197530864197,11.736842155456543,0.375,0.21052631578947367
335,0,4,1,32400,1,3.08641975308642e-05,34.000003814697266,0.25,0.0
335,0,4,2,32400,1,3.08641975308642e-05,1.0,0.0,0.0
335,0,5,0,32400,7,0.0002160493827160494,3.2857143878936768,0.21052631578947367,0.2857142857142857
335,0,5,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,5,2,32400,2,6.17283950617284e-05,4.0,0.0,0.0
335,0,6,0,32400,4,0.0001234567901234568,8.5,0.14285714285714285,0.25
335,0,6,1,32400,1,3.08641975308642e-05,22.0,-1.0,0.0
335,0,6,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,7,0,32400,10,0.00030864197530864197,5.800000190734863,0.25,0.2
335,0,7,1,32400,1,3.08641975308642e-05,3.0,0.0,0.0
335,0,7,2,32400,1,3.08641975308642e-05,4.0,-1.0,0.0
335,0,8,0,32400,3,9.259259259259259e-05,14.0,0.0,0.3333333333333333
335,0,8,1,32400,1,3.08641975308642e-05,11.999999046325684,0.0,0.0
335,0,8,2,32400,1,3.08641975308642e-05,26.000001907348633,0.0,0.0
335,0,9,0,32400,3,9.259259259259259e-05,9.0,0.0,0.0
335,0,9,1,32400,2,6.17283950617284e-05,4.5,1.0,0.0
335,0,9,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,10,0,32400,1,3.08641975308642e-05,1.0,0.0,0.0
335,0,10,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,10,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,11,0,32400,1,3.08641975308642e-05,3.0,0.0,0.0
335,0,11,1,32400,1,3.08641975308642e-05,4.0,-1.0,0.0
335,0,11,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,12,0,32400,1,3.08641975308642e-05,5.0,0.0,0.0
335,0,12,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,12,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,13,0,32400,0,0.0,-1.0,0.0,-1.0
335,0,13,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,13,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,14,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,14,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,14,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,15,0,32400,2,6.17283950617284e-05,8.0,-1.0,0.0
335,0,15,1,32400,1,3.08641975308642e-05,7.0,-1.0,0.0
335,0,15,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,16,0,32400,2,6.17283950617284e-05,2.5,0.5,0.0
335,0,16,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,16,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,17,0,32400,0,0.0,-1.0,0.0,-1.0
335,0,17,1,32400,1,3.08641975308642e-05,1.0,-1.0,0.0
335,0,17,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,18,0,32400,1,3.08641975308642e-05,3.0,-1.0,0.0
335,0,18,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,18,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,19,0,32400,1,3.08641975308642e-05,24.999998092651367,1.0,0.0
335,0,19,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,19,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,20,0,32400,0,0.0,-1.0,0.0,-1.0
335,0,20,1,32400,1,3.08641975308642e-05,2.0,-1.0,0.0
335,0,20,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,21,0,32400,2,6.17283950617284e-05,23.499996185302734,-1.0,0.0
335,0,21,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,21,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,22,0,32400,0,0.0,-1.0,0.0,-1.0
335,0,22,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,22,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,2,32400,1,3.08641975308642e-05,7.0,-1.0,0.0
335,0,24,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,24,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,24,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,25,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,25,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,25,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,27,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,27,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,27,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,28,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,28,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,28,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,29,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,29,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,29,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,30,0,32400,0,0.0,-1.0,-1.0,-1.0
