origin,sample_idx,step,target_idx,n_cells,n_active,active_fraction,mean_magnitude_on_active,persistence,neighbour_pairs_per_active
335,0,1,0,32400,45,0.001388888888888889,20.644445419311523,-1.0,0.5111111111111111
335,0,1,1,32400,10,0.00030864197530864197,35.000003814697266,-1.0,0.3
335,0,1,2,32400,10,0.00030864197530864197,18.399999618530273,-1.0,0.2
335,0,2,0,32400,32,0.0009876543209876543,11.9375,0.3111111111111111,0.28125
335,0,2,1,32400,7,0.0002160493827160494,39.4285774230957,0.4,0.0
335,0,2,2,32400,7,0.0002160493827160494,5.0,0.3,0.14285714285714285
335,0,3,0,32400,25,0.0007716049382716049,18.399999618530273,0.46875,0.32
335,0,3,1,32400,8,0.0002469135802469136,19.249998092651367,0.2857142857142857,0.5
335,0,3,2,32400,3,9.259259259259259e-05,13.333334922790527,0.0,0.0
335,0,4,0,32400,18,0.0005555555555555556,15.111111640930176,0.32,0.5555555555555556
335,0,4,1,32400,5,0.00015432098765432098,24.399999618530273,0.0,0.0
335,0,4,2,32400,2,6.17283950617284e-05,15.000000953674316,0.0,0.0
335,0,5,0,32400,21,0.0006481481481481481,14.333333969116211,0.3333333333333333,0.42857142857142855
335,0,5,1,32400,3,9.259259259259259e-05,14.0,0.0,0.0
335,0,5,2,32400,1,3.08641975308642e-05,32.000003814697266,0.0,0.0
335,0,6,0,32400,22,0.0006790123456790123,10.86363697052002,0.3333333333333333,0.5
335,0,6,1,32400,8,0.0002469135802469136,29.375001907348633,1.0,0.75
335,0,6,2,32400,1,3.08641975308642e-05,4.0,1.0,0.0
335,0,7,0,32400,16,0.0004938271604938272,32.0625,0.3181818181818182,0.25
335,0,7,1,32400,1,3.08641975308642e-05,24.999998092651367,0.125,0.0
335,0,7,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,8,0,32400,9,0.0002777777777777778,14.44444465637207,0.125,0.2222222222222222
335,0,8,1,32400,3,9.259259259259259e-05,11.333333969116211,0.0,0.0
335,0,8,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,9,0,32400,11,0.00033950617283950616,12.181818962097168,0.4444444444444444,0.2727272727272727
335,0,9,1,32400,4,0.0001234567901234568,5.0,0.6666666666666666,0.25
335,0,9,2,32400,1,3.08641975308642e-05,35.999996185302734,-1.0,0.0
335,0,10,0,32400,12,0.00037037037037037035,20.41666603088379,0.6363636363636364,0.3333333333333333
335,0,10,1,32400,2,6.17283950617284e-05,59.000003814697266,0.25,0.0
335,0,10,2,32400,2,6.17283950617284e-05,3.0,0.0,0.0
335,0,11,0,32400,7,0.0002160493827160494,39.0,0.25,0.5714285714285714
335,0,11,1,32400,1,3.08641975308642e-05,21.000001907348633,0.0,0.0
335,0,11,2,32400,1,3.08641975308642e-05,14.000000953674316,0.0,0.0
335,0,12,0,32400,4,0.0001234567901234568,27.0,0.42857142857142855,0.5
335,0,12,1,32400,1,3.08641975308642e-05,5.999999523162842,1.0,0.0
335,0,12,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,13,0,32400,4,0.0001234567901234568,26.499996185302734,0.75,0.5
335,0,13,1,32400,1,3.08641975308642e-05,11.999999046325684,0.0,0.0
335,0,13,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,14,0,32400,7,0.0002160493827160494,7.857143402099609,0.75,0.2857142857142857
335,0,14,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,14,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,15,0,32400,3,9.259259259259259e-05,1.3333333730697632,0.2857142857142857,0.3333333333333333
335,0,15,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,15,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,16,0,32400,4,0.0001234567901234568,51.25,0.6666666666666666,0.5
335,0,16,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,16,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,17,0,32400,4,0.0001234567901234568,28.5,0.75,0.5
335,0,17,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,17,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,18,0,32400,2,6.17283950617284e-05,17.0,0.5,0.5
335,0,18,1,32400,1,3.08641975308642e-05,4.0,-1.0,0.0
335,0,18,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,19,0,32400,2,6.17283950617284e-05,4.5,0.5,0.0
335,0,19,1,32400,1,3.08641975308642e-05,1.0,1.0,0.0
335,0,19,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,20,0,32400,3,9.259259259259259e-05,6.6666669845581055,1.0,0.6666666666666666
335,0,20,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,20,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,21,0,32400,3,9.259259259259259e-05,13.0,1.0,0.6666666666666666
335,0,21,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,21,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,22,0,32400,3,9.259259259259259e-05,8.333333969116211,1.0,0.6666666666666666
335,0,22,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,22,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,0,32400,3,9.259259259259259e-05,18.0,1.0,0.6666666666666666
335,0,23,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,24,0,32400,3,9.259259259259259e-05,13.666666984558105,1.0,0.6666666666666666
335,0,24,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,24,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,25,0,32400,2,6.17283950617284e-05,11.5,0.6666666666666666,0.5
335,0,25,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,25,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,0,32400,3,9.259259259259259e-05,8.666667938232422,1.0,0.6666666666666666
335,0,26,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,27,0,32400,2,6.17283950617284e-05,6.999999523162842,0.6666666666666666,0.5
