origin,sample_idx,step,target_idx,n_cells,n_active,active_fraction,mean_magnitude_on_active,persistence,neighbour_pairs_per_active
335,0,1,0,32400,51,0.001574074074074074,19.078432083129883,-1.0,0.6274509803921569
335,0,1,1,32400,6,0.00018518518518518518,13.166666984558105,-1.0,0.3333333333333333
335,0,1,2,32400,7,0.0002160493827160494,16.285717010498047,-1.0,0.14285714285714285
335,0,2,0,32400,31,0.0009567901234567902,33.70967483520508,0.39215686274509803,0.5483870967741935
335,0,2,1,32400,8,0.0002469135802469136,16.375,0.16666666666666666,0.25
335,0,2,2,32400,5,0.00015432098765432098,3.0,0.0,0.0
335,0,3,0,32400,31,0.0009567901234567902,16.032257080078125,0.6129032258064516,0.6774193548387096
335,0,3,1,32400,4,0.0001234567901234568,23.999998092651367,0.25,0.0
335,0,3,2,32400,4,0.0001234567901234568,5.0,0.0,0.0
335,0,4,0,32400,24,0.0007407407407407407,23.291667938232422,0.45161290322580644,0.375
335,0,4,1,32400,2,6.17283950617284e-05,3.0,0.25,0.0
335,0,4,2,32400,2,6.17283950617284e-05,2.0,0.25,0.0
335,0,5,0,32400,15,0.000462962962962963,18.933334350585938,0.4166666666666667,0.26666666666666666
335,0,5,1,32400,2,6.17283950617284e-05,1.5,0.5,0.0
335,0,5,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,6,0,32400,10,0.00030864197530864197,11.0,0.26666666666666666,0.0
335,0,6,1,32400,2,6.17283950617284e-05,7.000000476837158,0.0,0.0
335,0,6,2,32400,1,3.08641975308642e-05,24.999998092651367,-1.0,0.0
335,0,7,0,32400,8,0.0002469135802469136,22.875001907348633,0.2,0.0
335,0,7,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,7,2,32400,1,3.08641975308642e-05,61.99999237060547,1.0,0.0
335,0,8,0,32400,4,0.0001234567901234568,26.250003814697266,0.25,0.0
335,0,8,1,32400,1,3.08641975308642e-05,4.0,-1.0,0.0
335,0,8,2,32400,2,6.17283950617284e-05,8.5,1.0,0.0
335,0,9,0,32400,4,0.0001234567901234568,44.250003814697266,0.5,0.0
335,0,9,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,9,2,32400,1,3.08641975308642e-05,2.0,0.5,0.0
335,0,10,0,32400,4,0.0001234567901234568,7.25,0.5,0.0
335,0,10,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,10,2,32400,1,3.08641975308642e-05,1.0,1.0,0.0
335,0,11,0,32400,5,0.00015432098765432098,9.0,0.0,0.0
335,0,11,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,11,2,32400,1,3.08641975308642e-05,3.0,1.0,0.0
335,0,12,0,32400,1,3.08641975308642e-05,29.000001907348633,0.0,0.0
335,0,12,1,32400,1,3.08641975308642e-05,1.0,-1.0,0.0
335,0,12,2,32400,1,3.08641975308642e-05,5.999999523162842,1.0,0.0
335,0,13,0,32400,3,9.259259259259259e-05,1.0,0.0,0.0
335,0,13,1,32400,0,0.0,-1.0,0.0,-1.0
335,0,13,2,32400,1,3.08641975308642e-05,9.0,1.0,0.0
335,0,14,0,32400,1,3.08641975308642e-05,14.000000953674316,0.3333333333333333,0.0
335,0,14,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,14,2,32400,1,3.08641975308642e-05,7.0,1.0,0.0
335,0,15,0,32400,1,3.08641975308642e-05,1.0,0.0,0.0
335,0,15,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,15,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,16,0,32400,1,3.08641975308642e-05,1.0,0.0,0.0
335,0,16,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,16,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,17,0,32400,0,0.0,-1.0,0.0,-1.0
335,0,17,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,17,2,32400,1,3.08641975308642e-05,1.0,-1.0,0.0
335,0,18,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,18,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,18,2,32400,0,0.0,-1.0,0.0,-1.0
335,0,19,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,19,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,19,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,20,0,32400,1,3.08641975308642e-05,13.000000953674316,-1.0,0.0
335,0,20,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,20,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,21,0,32400,0,0.0,-1.0,0.0,-1.0
335,0,21,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,21,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,22,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,22,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,22,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,23,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,24,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,24,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,24,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,25,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,25,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,25,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,26,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,27,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,27,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,27,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,28,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,28,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,28,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,29,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,29,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,29,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,30,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,30,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,30,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,31,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,31,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,31,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,32,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,32,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,32,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,33,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,33,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,33,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,34,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,34,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,34,2,32400,0,0.0,-1.0,-1.0,-1.0
335,0,35,0,32400,0,0.0,-1.0,-1.0,-1.0
335,0,35,1,32400,0,0.0,-1.0,-1.0,-1.0
335,0,35,2,32400,0,0.0,-1.0,-1.0,-1.0
335,1,1,0,32400,41,0.0012654320987654322,24.04878044128418,-1.0,0.5609756097560976
335,1,1,1,32400,9,0.0002777777777777778,17.333332061767578,-1.0,0.0
335,1,1,2,32400,12,0.00037037037037037035,11.583333969116211,-1.0,0.16666666666666666
335,1,2,0,32400,34,0.0010493827160493827,14.823529243469238,0.43902439024390244,0.5294117647058824
335,1,2,1,32400,5,0.00015432098765432098,16.200000762939453,0.1111111111111111,0.2
335,1,2,2,32400,5,0.00015432098765432098,8.800000190734863,0.08333333333333333,0.4
