target,model,h,N,n_event,AP,Brier,crps_all,crps_events,crps_none,size_ratio,pos_mcr,mcr_all,mcr_none,act_pred,act_true,act_ratio,precision_at_k,mag_on_false_pos,mag_on_true_pos,n_false_pos,gate_source
sb,fullzero_fortyfour,1,170430,1343,0.47989440318918153,0.005546280500875346,0.12751606234651444,15.61646034505859,0.004492694661935993,0.08482142857142858,0.9532688951681233,0.4561481931405755,0.03176101669669151,0.003304875902129907,0.007880068063134425,0.41939687267311987,0.46686522710349965,4.307699108090481,8.179625245610303,716,gate-head
sb,fullzero_fortyfour,6,170430,1336,0.3785898620371263,0.006106881603146199,0.11209656276196357,14.197294865695838,0.000810385057730089,0.0,0.2665678534495894,0.13593437224495894,0.0074921343475580215,0.001024614211113067,0.007838995482016078,0.1307073353293413,0.4184131736526946,1.2356821216518201,2.528510735905021,777,gate-head
sb,fullzero_fortyfour,12,170430,1379,0.3311723870975054,0.007025747599055423,0.11074352831837289,13.656672067660637,0.00024530319250566223,0.0,0.07673588281035595,0.04079820061624355,0.0026545242872089148,0.00032858064894678165,0.008091298480314498,0.04060913705583756,0.38071065989847713,0.4207406345868278,0.5732142908800216,854,gate-head
sb,fullzero_fortyfour,18,170430,1547,0.30576567170457364,0.008372637368260384,0.1340185028109211,14.753123482672406,0.00010475540090519433,0.0,0.017353272751079483,0.013879810228176996,0.0011320706689730287,0.00012688493809775273,0.009077040427154844,0.013978668390433093,0.36199095022624433,0.16261398094765683,0.22354911645608289,987,gate-head
sb,fullzero_fortyfour,24,170430,1590,0.2880632105502771,0.00889585791572046,0.13287319207411755,14.238249312151435,4.004808618261037e-05,0.0,0.0183705166165194,0.007225210535365305,0.0005193526158109307,5.7208237986270026e-05,0.009329343425453265,0.006132075471698114,0.3610062893081761,0.074557087816826,0.13022648649556295,1016,gate-head
sb,fullzero_fortyfour,30,170430,1655,0.2528475817655217,0.00946700104730624,0.16862675933896198,17.362752549217458,2.1941194989790372e-05,0.0,0.008676208262621946,0.0026320593159921152,0.00021774551714770496,2.347004635334155e-05,0.009710731678695066,0.002416918429003021,0.33051359516616313,0.03294224074170908,0.07118373025052073,1108,gate-head
sb,fullzero_fortyfour,36,170430,1779,0.2108388823451274,0.010304137977746377,0.8746960812371734,83.79358356182807,3.360767952347289e-05,0.0,0.0059688184164733106,0.000496407816381226,0.0002879466919694096,1.943613213636097e-05,0.010438303115648653,0.001862001124227094,0.2951096121416526,0.033094099216293874,0.04845238719667707,1254,gate-head
sb,persistence,1,170430,1343,0.14605599992477625,0.00947603121516165,0.18765475561814235,18.842144452717797,0.03948854731587881,0.0,1.493857921572553,0.9505977423251551,0.03948854731587881,0.0072874493927125505,0.007880068063134425,0.924795234549516,0.36113179448994787,7.782051282051282,33.28659793814433,858,frac(samples>0)
sb,persistence,6,170430,1336,0.11218473056039344,0.010186000117350233,0.21259754738015607,17.187874251497007,0.07847706009675091,0.0,1.8523443194856049,1.1433366733466934,0.07847706009675091,0.0072874493927125505,0.007838995482016078,0.9296407185628741,0.31511976047904194,14.502732240437158,22.68646080760095,915,frac(samples>0)
sb,persistence,12,170430,1379,0.12947043384265328,0.009968902188581822,0.2079094056210761,17.184916606236403,0.06942283689537476,0.0,1.898626871450331,1.1966336322164544,0.06942283689537476,0.0072874493927125505,0.008091298480314498,0.9006526468455403,0.3343002175489485,12.784313725490197,24.045553145336225,918,frac(samples>0)
sb,persistence,18,170430,1547,0.10770921993159173,0.011189344598955583,0.22751862934929296,16.493859082094374,0.07851589562004464,0.0,1.4137944202441146,0.994509086155053,0.07851589562004464,0.0072874493927125505,0.009077040427154844,0.8028442146089204,0.2870071105365223,12.021758839528559,21.533783783783782,1103,frac(samples>0)
sb,persistence,24,170430,1590,0.09661139724968287,0.01167634806078742,0.233327465821745,17.144025157232704,0.07407604832977967,0.0,1.5233697052841877,1.006172567347119,0.07407604832977967,0.0072874493927125505,0.009329343425453265,0.7811320754716982,0.26540880503144654,10.708047945205479,24.44075829383886,1168,frac(samples>0)
sb,persistence,30,170430,1655,0.08443857535715645,0.012327641847092648,0.2792524790236461,21.70453172205438,0.06915716190194045,0.0,2.2500021077857983,0.7936082904437335,0.06915716190194045,0.0072874493927125505,0.009710731678695066,0.7504531722054381,0.24350453172205438,9.322683706070288,27.66501240694789,1252,frac(samples>0)
sb,persistence,36,170430,1779,0.0833838668233843,0.012937863052279529,0.984674059731268,86.50758853288364,0.08254324018238848,0.0,1.5330555849160594,0.15308812579240766,0.08254324018238848,0.0072874493927125505,0.010438303115648653,0.6981450252951096,0.2304665542439573,10.16873630387144,21.70731707317073,1369,frac(samples>0)
