origin,sample_idx,step,target_idx,n_cells,n_active,active_fraction,mean_magnitude_on_active,persistence,neighbour_pairs_per_active
335,0,1,0,32400,42,0.0012962962962962963,40.380958557128906,-1.0,0.3333333333333333
335,0,1,1,32400,10,0.00030864197530864197,14.100001335144043,-1.0,0.1
335,0,1,2,32400,10,0.00030864197530864197,14.199999809265137,-1.0,0.1
335,0,2,0,32400,28,0.0008641975308641976,19.85714340209961,0.2619047619047619,0.25
335,0,2,1,32400,4,0.0001234567901234568,21.5,0.1,0.0
335,0,2,2,32400,6,0.00018518518518518518,17.666667938232422,0.1,0.0
335,0,3,0,32400,30,0.000925925925925926,22.000001907348633,0.5714285714285714,0.4666666666666667
335,0,3,1,32400,4,0.0001234567901234568,30.5,0.25,0.25
335,0,3,2,32400,10,0.00030864197530864197,5.700000286102295,0.16666666666666666,0.2
335,0,4,0,32400,22,0.0006790123456790123,12.681818962097168,0.36666666666666664,0.3181818181818182
335,0,4,1,32400,2,6.17283950617284e-05,24.499998092651367,0.0,0.0
335,0,4,2,32400,5,0.00015432098765432098,7.0,0.2,0.4
335,0,5,0,32400,22,0.0006790123456790123,13.136363983154297,0.5,0.45454545454545453
335,0,5,1,32400,4,0.0001234567901234568,42.25,0.0,0.0
335,0,5,2,32400,4,0.0001234567901234568,10.75,0.2,0.0
335,0,6,0,32400,30,0.000925925925925926,21.600000381469727,0.7727272727272727,0.5333333333333333
335,0,6,1,32400,4,0.0001234567901234568,4.25,0.25,0.25
335,0,6,2,32400,6,0.00018518518518518518,29.499998092651367,0.5,0.16666666666666666
335,0,7,0,32400,22,0.0006790123456790123,46.272735595703125,0.4666666666666667,0.36363636363636365
335,0,7,1,32400,4,0.0001234567901234568,29.999996185302734,0.0,0.0
335,0,7,2,32400,4,0.0001234567901234568,5.25,0.3333333333333333,0.0
335,0,8,0,32400,24,0.0007407407407407407,19.291667938232422,0.5,0.4166666666666667
335,0,8,1,32400,4,0.0001234567901234568,46.25,0.0,0.0
335,0,8,2,32400,4,0.0001234567901234568,9.0,0.0,0.25
335,0,9,0,32400,17,0.0005246913580246914,14.117647171020508,0.4166666666666667,0.29411764705882354
335,0,9,1,32400,9,0.0002777777777777778,18.555553436279297,0.75,0.2222222222222222
335,0,9,2,32400,8,0.0002469135802469136,10.875,0.0,0.125
335,0,10,0,32400,18,0.0005555555555555556,21.61111068725586,0.4117647058823529,0.16666666666666666
335,0,10,1,32400,6,0.00018518518518518518,16.166667938232422,0.3333333333333333,0.16666666666666666
335,0,10,2,32400,3,9.259259259259259e-05,11.333333969116211,0.25,0.0
335,0,11,0,32400,21,0.0006481481481481481,19.952381134033203,0.5555555555555556,0.38095238095238093
335,0,11,1,32400,4,0.0001234567901234568,10.25,0.3333333333333333,0.0
335,0,11,2,32400,2,6.17283950617284e-05,12.5,0.3333333333333333,0.0
335,0,12,0,32400,22,0.0006790123456790123,19.363636016845703,0.5238095238095238,0.36363636363636365
335,0,12,1,32400,3,9.259259259259259e-05,23.999998092651367,0.25,0.0
335,0,12,2,32400,2,6.17283950617284e-05,9.0,0.0,0.0
335,0,13,0,32400,26,0.0008024691358024691,18.34615135192871,0.5909090909090909,0.5384615384615384
335,0,13,1,32400,2,6.17283950617284e-05,15.000000953674316,0.0,0.0
335,0,13,2,32400,3,9.259259259259259e-05,65.66667175292969,0.0,0.0
335,0,14,0,32400,24,0.0007407407407407407,20.5,0.5769230769230769,0.375
335,0,14,1,32400,3,9.259259259259259e-05,20.0,0.5,0.3333333333333333
335,0,14,2,32400,3,9.259259259259259e-05,3.3333334922790527,0.0,0.0
335,0,15,0,32400,28,0.0008641975308641976,16.535715103149414,0.4583333333333333,0.4642857142857143
335,0,15,1,32400,5,0.00015432098765432098,8.199999809265137,0.6666666666666666,0.4
335,0,15,2,32400,4,0.0001234567901234568,31.750001907348633,0.3333333333333333,0.0
335,0,16,0,32400,29,0.0008950617283950618,16.89655113220215,0.5714285714285714,0.5517241379310345
335,0,16,1,32400,6,0.00018518518518518518,25.666667938232422,0.2,0.0
335,0,16,2,32400,1,3.08641975308642e-05,11.0,0.0,0.0
335,0,17,0,32400,23,0.0007098765432098765,24.69565200805664,0.41379310344827586,0.5652173913043478
335,0,17,1,32400,3,9.259259259259259e-05,4.0,0.0,0.3333333333333333
335,0,17,2,32400,4,0.0001234567901234568,11.5,0.0,0.0
335,0,18,0,32400,31,0.0009567901234567902,19.096773147583008,0.5652173913043478,0.6774193548387096
335,0,18,1,32400,6,0.00018518518518518518,8.833333969116211,0.3333333333333333,0.0
335,0,18,2,32400,6,0.00018518518518518518,15.0,0.5,0.0
335,0,19,0,32400,28,0.0008641975308641976,33.53571701049805,0.5161290322580645,0.6785714285714286
335,0,19,1,32400,6,0.00018518518518518518,3.8333334922790527,0.16666666666666666,0.0
335,0,19,2,32400,5,0.00015432098765432098,7.400000095367432,0.16666666666666666,0.0
335,0,20,0,32400,36,0.0011111111111111111,17.66666603088379,0.5714285714285714,0.5277777777777778
335,0,20,1,32400,7,0.0002160493827160494,17.857145309448242,0.3333333333333333,0.14285714285714285
335,0,20,2,32400,4,0.0001234567901234568,10.5,0.2,0.25
335,0,21,0,32400,31,0.0009567901234567902,22.483869552612305,0.4166666666666667,0.41935483870967744
335,0,21,1,32400,5,0.00015432098765432098,16.599998474121094,0.2857142857142857,0.2
335,0,21,2,32400,11,0.00033950617283950616,11.36363697052002,0.25,0.18181818181818182
335,0,22,0,32400,21,0.0006481481481481481,37.0,0.3548387096774194,0.38095238095238093
335,0,22,1,32400,6,0.00018518518518518518,9.166667938232422,0.6,0.3333333333333333
335,0,22,2,32400,8,0.0002469135802469136,18.5,0.36363636363636365,0.125
335,0,23,0,32400,25,0.0007716049382716049,82.87999725341797,0.38095238095238093,0.16
335,0,23,1,32400,3,9.259259259259259e-05,25.666667938232422,0.3333333333333333,0.0
335,0,23,2,32400,7,0.0002160493827160494,11.428571701049805,0.125,0.0
335,0,24,0,32400,21,0.0006481481481481481,38.0,0.24,0.42857142857142855
335,0,24,1,32400,4,0.0001234567901234568,1.75,0.3333333333333333,0.25
335,0,24,2,32400,5,0.00015432098765432098,7.800000190734863,0.0,0.0
335,0,25,0,32400,20,0.0006172839506172839,13.75,0.2857142857142857,0.2
335,0,25,1,32400,4,0.0001234567901234568,5.75,0.0,0.0
