origin,sample_idx,step,target_idx,n_cells,n_active,active_fraction,mean_magnitude_on_active,persistence,neighbour_pairs_per_active
335,0,1,0,32400,51,0.001574074074074074,19.078432083129883,-1.0,0.6274509803921569
335,0,1,1,32400,6,0.00018518518518518518,13.166666984558105,-1.0,0.3333333333333333
335,0,1,2,32400,7,0.0002160493827160494,16.285717010498047,-1.0,0.14285714285714285
335,0,2,0,32400,31,0.0009567901234567902,33.70967483520508,0.39215686274509803,0.5483870967741935
335,0,2,1,32400,8,0.0002469135802469136,16.375,0.16666666666666666,0.25
335,0,2,2,32400,5,0.00015432098765432098,3.0,0.0,0.0
335,0,3,0,32400,29,0.0008950617283950618,15.896552085876465,0.4838709677419355,0.5172413793103449
335,0,3,1,32400,6,0.00018518518518518518,2.6666667461395264,0.25,0.16666666666666666
335,0,3,2,32400,5,0.00015432098765432098,14.600000381469727,0.2,0.0
335,0,4,0,32400,30,0.000925925925925926,17.96666717529297,0.41379310344827586,0.7
335,0,4,1,32400,2,6.17283950617284e-05,1.5,0.0,0.0
335,0,4,2,32400,3,9.259259259259259e-05,2.3333334922790527,0.2,0.3333333333333333
335,0,5,0,32400,24,0.0007407407407407407,18.125,0.43333333333333335,0.4583333333333333
335,0,5,1,32400,5,0.00015432098765432098,8.40000057220459,0.5,0.4
335,0,5,2,32400,1,3.08641975308642e-05,696.0,0.0,0.0
335,0,6,0,32400,27,0.0008333333333333334,15.000000953674316,0.4583333333333333,0.4074074074074074
335,0,6,1,32400,6,0.00018518518518518518,15.166667938232422,0.2,0.16666666666666666
335,0,6,2,32400,4,0.0001234567901234568,3.5,0.0,0.0
335,0,7,0,32400,29,0.0008950617283950618,25.65517234802246,0.48148148148148145,0.5862068965517241
335,0,7,1,32400,3,9.259259259259259e-05,5.6666669845581055,0.3333333333333333,0.0
335,0,7,2,32400,6,0.00018518518518518518,6.6666669845581055,0.0,0.3333333333333333
335,0,8,0,32400,22,0.0006790123456790123,24.22727394104004,0.3793103448275862,0.5454545454545454
335,0,8,1,32400,3,9.259259259259259e-05,7.6666669845581055,0.3333333333333333,0.0
335,0,8,2,32400,4,0.0001234567901234568,13.5,0.16666666666666666,0.25
335,0,9,0,32400,21,0.0006481481481481481,10.999999046325684,0.36363636363636365,0.3333333333333333
335,0,9,1,32400,5,0.00015432098765432098,7.0,0.0,0.0
335,0,9,2,32400,1,3.08641975308642e-05,19.0,0.0,0.0
335,0,10,0,32400,23,0.0007098765432098765,12.826088905334473,0.5238095238095238,0.391304347826087
335,0,10,1,32400,5,0.00015432098765432098,91.40001678466797,0.2,0.0
335,0,10,2,32400,5,0.00015432098765432098,18.600000381469727,0.0,0.2
335,0,11,0,32400,18,0.0005555555555555556,22.11111068725586,0.2608695652173913,0.3333333333333333
335,0,11,1,32400,5,0.00015432098765432098,25.799997329711914,0.6,0.0
335,0,11,2,32400,6,0.00018518518518518518,45.66666793823242,0.4,0.16666666666666666
335,0,12,0,32400,15,0.000462962962962963,14.333333969116211,0.3333333333333333,0.0
335,0,12,1,32400,3,9.259259259259259e-05,9.333333969116211,0.4,0.0
335,0,12,2,32400,6,0.00018518518518518518,19.666667938232422,0.5,0.0
335,0,13,0,32400,16,0.0004938271604938272,25.625,0.2,0.0625
335,0,13,1,32400,3,9.259259259259259e-05,8.333333969116211,0.0,0.3333333333333333
335,0,13,2,32400,4,0.0001234567901234568,35.250003814697266,0.3333333333333333,0.0
335,0,14,0,32400,22,0.0006790123456790123,18.5,0.1875,0.13636363636363635
335,0,14,1,32400,2,6.17283950617284e-05,9.5,0.3333333333333333,0.0
335,0,14,2,32400,2,6.17283950617284e-05,89.50000762939453,0.25,0.0
335,0,15,0,32400,23,0.0007098765432098765,28.130435943603516,0.45454545454545453,0.2608695652173913
335,0,15,1,32400,2,6.17283950617284e-05,20.5,0.0,0.0
335,0,15,2,32400,3,9.259259259259259e-05,2.6666667461395264,0.5,0.0
335,0,16,0,32400,26,0.0008024691358024691,8.038461685180664,0.391304347826087,0.3076923076923077
335,0,16,1,32400,3,9.259259259259259e-05,5.0,0.0,0.0
335,0,16,2,32400,4,0.0001234567901234568,1.75,0.3333333333333333,0.0
335,0,17,0,32400,24,0.0007407407407407407,12.75,0.34615384615384615,0.3333333333333333
335,0,17,1,32400,5,0.00015432098765432098,5.599999904632568,0.3333333333333333,0.4
335,0,17,2,32400,6,0.00018518518518518518,23.33333396911621,0.25,0.0
335,0,18,0,32400,20,0.0006172839506172839,16.30000114440918,0.3333333333333333,0.2
335,0,18,1,32400,3,9.259259259259259e-05,12.0,0.0,0.3333333333333333
335,0,18,2,32400,8,0.0002469135802469136,18.249998092651367,0.0,0.375
335,0,19,0,32400,27,0.0008333333333333334,14.592592239379883,0.4,0.37037037037037035
335,0,19,1,32400,2,6.17283950617284e-05,1.0,0.0,0.0
335,0,19,2,32400,3,9.259259259259259e-05,14.0,0.0,0.0
335,0,20,0,32400,26,0.0008024691358024691,7.461538791656494,0.48148148148148145,0.4230769230769231
335,0,20,1,32400,1,3.08641975308642e-05,35.0,0.0,0.0
335,0,20,2,32400,3,9.259259259259259e-05,25.33333969116211,0.3333333333333333,0.3333333333333333
335,0,21,0,32400,29,0.0008950617283950618,15.310344696044922,0.46153846153846156,0.41379310344827586
335,0,21,1,32400,2,6.17283950617284e-05,1.0,0.0,0.0
335,0,21,2,32400,3,9.259259259259259e-05,6.6666669845581055,0.6666666666666666,0.3333333333333333
335,0,22,0,32400,24,0.0007407407407407407,14.791666984558105,0.41379310344827586,0.25
335,0,22,1,32400,3,9.259259259259259e-05,9.666666984558105,0.0,0.0
335,0,22,2,32400,5,0.00015432098765432098,7.0,0.0,0.0
335,0,23,0,32400,22,0.0006790123456790123,8.86363697052002,0.16666666666666666,0.2727272727272727
335,0,23,1,32400,5,0.00015432098765432098,14.199999809265137,0.6666666666666666,0.2
335,0,23,2,32400,7,0.0002160493827160494,17.0,0.2,0.14285714285714285
335,0,24,0,32400,22,0.0006790123456790123,12.909090995788574,0.3181818181818182,0.2727272727272727
335,0,24,1,32400,3,9.259259259259259e-05,29.999998092651367,0.4,0.6666666666666666
335,0,24,2,32400,6,0.00018518518518518518,34.16666793823242,0.2857142857142857,0.0
335,0,25,0,32400,30,0.000925925925925926,10.233333587646484,0.5454545454545454,0.4666666666666667
335,0,25,1,32400,6,0.00018518518518518518,33.833335876464844,1.0,0.5
335,0,25,2,32400,6,0.00018518518518518518,17.0,0.5,0.16666666666666666
335,0,26,0,32400,27,0.0008333333333333334,21.259260177612305,0.43333333333333335,0.6666666666666666
335,0,26,1,32400,3,9.259259259259259e-05,1.6666667461395264,0.16666666666666666,0.3333333333333333
335,0,26,2,32400,6,0.00018518518518518518,15.166666984558105,0.3333333333333333,0.16666666666666666
335,0,27,0,32400,27,0.0008333333333333334,14.0,0.4074074074074074,0.5185185185185185
335,0,27,1,32400,2,6.17283950617284e-05,4.0,0.3333333333333333,0.0
335,0,27,2,32400,4,0.0001234567901234568,17.5,0.16666666666666666,0.0
335,0,28,0,32400,20,0.0006172839506172839,12.050000190734863,0.3333333333333333,0.45
335,0,28,1,32400,4,0.0001234567901234568,10.5,0.5,0.25
335,0,28,2,32400,5,0.00015432098765432098,13.40000057220459,0.25,0.0
335,0,29,0,32400,22,0.0006790123456790123,16.136363983154297,0.5,0.3181818181818182
335,0,29,1,32400,1,3.08641975308642e-05,5.0,0.25,0.0
335,0,29,2,32400,6,0.00018518518518518518,14.833333969116211,0.0,0.0
335,0,30,0,32400,24,0.0007407407407407407,12.083333969116211,0.4090909090909091,0.4166666666666667
335,0,30,1,32400,1,3.08641975308642e-05,3.0,0.0,0.0
335,0,30,2,32400,5,0.00015432098765432098,10.000000953674316,0.3333333333333333,0.2
335,0,31,0,32400,18,0.0005555555555555556,21.77777862548828,0.3333333333333333,0.5555555555555556
335,0,31,1,32400,1,3.08641975308642e-05,1.0,0.0,0.0
